feature,importance
Close,0.031149099
vix_ma10,0.030326826
vix_ma20,0.029144214
Open,0.02881048
sector_Consumer,0.028790044
Low,0.028695274
momentum_5,0.027806023
return_10d,0.02768207
momentum_20,0.027637163
Volume,0.027360098
vix,0.027240675
beta_60,0.02706546
momentum_10,0.02662243
High,0.026437644
vix_ratio_ma20,0.026433192
relative_strength_1d,0.026275508
sector_Technology,0.0262505
volatility_60,0.02616256
volume_ratio_20,0.026068382
log_return_1d,0.026047055
vix_change,0.025994647
rsi_14,0.025936987
return_20d,0.02591364
return_1d,0.025862841
volume_change,0.025742212
macd_signal,0.025532782
volatility_10,0.025503766
price_ma200_ratio,0.025433304
price_ma20_ratio,0.024790889
macd,0.024685405
macd_hist,0.024628898
volatility_20,0.024569921
sector_Financials,0.024512298
return_60d,0.02424503
return_5d,0.024158688
price_ma50_ratio,0.023670912
relative_strength_20d,0.023631753
sector_Energy,0.023181316
