factor,mean_ic,ic_std,icir,fold
volatility_10,0.025454545454545455,0.3350117261517706,0.07598105817649428,1
volatility_20,0.011936584386915517,0.35538054035595984,0.033588176704778136,1
volatility_60,0.06639373871161951,0.3847516356781776,0.17256258987591158,1
beta_60,0.06835239815372264,0.3744491058536976,0.18254122412146673,1
price_ma200_ratio,0.06457957053983543,0.3520263297686033,0.18345096681343517,1
return_60d,0.02744531406783062,0.335010805527757,0.08192366817719456,1
momentum_20,0.0009713024282560766,0.3518359411961195,0.0027606685802308516,1
volatility_10,0.03084961015995498,0.323092186666067,0.09548237757863114,2
volatility_20,0.010176030865686046,0.3324567351080299,0.03060858689591415,2
volatility_60,0.06113656458484043,0.35151905249081716,0.17392105535001554,2
beta_60,0.04787396511534442,0.365178049699926,0.13109759788323366,2
price_ma200_ratio,0.0456233421750663,0.3538706319173928,0.12892661345719292,2
return_60d,0.02265091230608472,0.3383971787800097,0.06693587809374132,2
momentum_20,0.012603488465557427,0.34939678627151116,0.036072136209528385,2
volatility_10,0.007619966240655897,0.3151547721052986,0.024178489158685295,3
volatility_20,-0.011381721726549308,0.3195230732661178,-0.035620969747840195,3
volatility_60,0.03626718109476729,0.34760718339627233,0.10433380789321228,3
beta_60,0.059094928060445306,0.36792798818164346,0.1606154735672638,3
price_ma200_ratio,0.053757736516357194,0.35347654289242925,0.15208289658054303,3
return_60d,0.05009243629933285,0.328441040731729,0.15251576413146373,3
momentum_20,0.022168635961739395,0.3268913673659885,0.06781652308645804,3
volatility_10,0.022045152722443555,0.33161314126235336,0.06647852566555162,4
volatility_20,0.0025031188377801898,0.34067070628423285,0.007347619832307375,4
volatility_60,0.02614994567185803,0.38151759211514313,0.06854191317071927,4
beta_60,0.08237756046520987,0.36219059216592353,0.22744257373607263,4
price_ma200_ratio,0.038287255020322736,0.35782244753129216,0.10700070743039242,4
return_60d,0.032492253209384675,0.3356252712602474,0.09681110450169242,4
momentum_20,0.02985230793995734,0.34292368671626094,0.08705233582962581,4
volatility_10,0.0484205449722691,0.3504231398041569,0.13817736180130738,5
volatility_20,0.04221525600835945,0.3592797838775789,0.11749966990278497,5
volatility_60,0.060975805803392,0.3947606229501276,0.1544627357908882,5
beta_60,0.09947753396029257,0.3746377272125633,0.26552994195336516,5
price_ma200_ratio,0.0234868579696166,0.3611633536636104,0.06503112160015102,5
return_60d,0.040350454143557576,0.3450353903961316,0.11694584169244676,5
momentum_20,0.03289124668435013,0.3530641833433922,0.09315939774145802,5
volatility_10,0.052201485049167155,0.35463328168493446,0.14719849417727332,6
volatility_20,0.04088300220750552,0.3545222793455015,0.11531856977502614,6
volatility_60,0.05849488260084286,0.3906330170422428,0.14974382617155288,6
beta_60,0.09696166967690144,0.37726742501544697,0.2570104473582139,6
price_ma200_ratio,0.0665542845675296,0.3822824248704769,0.1740971602083962,6
return_60d,0.07655629139072846,0.3543121495675801,0.2160701841135324,6
momentum_20,0.042472406181015436,0.3505801178278642,0.12114893007671788,6
volatility_10,0.061079670880995376,0.35353369622047154,0.17276902183294213,7
volatility_20,0.055508729680915116,0.3540711343076432,0.15677281851698485,7
volatility_60,0.06759783263094521,0.38488960129797967,0.17562914769061608,7
beta_60,0.09965884005619102,0.3672079218137296,0.2713962148854297,7
price_ma200_ratio,0.09920931165964277,0.38242920778350475,0.25941876206224734,7
return_60d,0.09121412803532009,0.3599552504866884,0.25340407706788903,7
momentum_20,0.06098334336744933,0.3555442951650287,0.17152108526771165,7
volatility_10,0.028665462572747342,0.349710079474056,0.08196922037780141,8
volatility_20,0.02858518964479229,0.35327185657396026,0.08091555869185904,8
volatility_60,0.0560064218342364,0.3849590777814782,0.14548668953853952,8
beta_60,0.06918723660445515,0.3689149741708416,0.1875425001654042,8
price_ma200_ratio,0.11659642785470599,0.3980136604365785,0.2929457941891044,8
return_60d,0.109805338149709,0.3684450498520706,0.29802364882849003,8
momentum_20,0.07032711218141681,0.3572766339406085,0.19684218194103217,8
volatility_10,0.03735770402437069,0.3634848611666098,0.10277650602688271,9
volatility_20,0.03588263588263587,0.3629865917288392,0.09885388799551353,9
volatility_60,0.05432098765432098,0.38306000813052254,0.14180803660352828,9
beta_60,0.054176687510020825,0.37220130653971356,0.14555748880543012,9
price_ma200_ratio,0.1431617764951098,0.4179903294696548,0.34250021209044035,9
return_60d,0.13742183742183742,0.39009725501588904,0.35227583802464874,9
momentum_20,0.0834054834054834,0.3657526978549312,0.22803791713537705,9
volatility_10,0.04735599055282014,0.3707016798661371,0.12774690033754557,10
volatility_20,0.04452183659581282,0.374672031822406,0.11882882311566854,10
volatility_60,0.04631519955165926,0.3830616672489568,0.12090794645228338,10
beta_60,0.0268764260838237,0.3682417742796619,0.07298581519274439,10
price_ma200_ratio,0.13739241823786078,0.40718076355860716,0.3374236470237508,10
return_60d,0.15161122453064327,0.3935462456365264,0.385243732373626,10
momentum_20,0.10221368239862295,0.374084199815943,0.2732371012967513,10
volatility_10,0.038031104697771365,0.37395401857989724,0.10169994921353097,11
volatility_20,0.04067660734327402,0.37534673814577846,0.10837074952140892,11
volatility_60,0.042247875581208905,0.3746533242548561,0.11276524948827091,11
beta_60,0.032595799262465926,0.3820691627375617,0.0853138709989415,11
price_ma200_ratio,0.09836459836459836,0.4210178738244379,0.23363520762450066,11
return_60d,0.1367003367003367,0.40874457309743606,0.33443951479143,11
