fold,scheme,train_start,train_end,validation_start,validation_end,test_start,test_end,validation_sharpe,validation_cagr,validation_max_dd,test_sharpe,test_cagr,test_max_dd,test_total_return,test_hit_rate,test_turnover,test_cost
1,equal_weight,2015-10-16,2018-10-16,2018-10-16,2019-04-16,2019-04-16,2019-07-16,-1.9495096564435217,-0.6507703211751368,-0.6545337305444482,1.9115875988384994,1.1765880954111183,-0.3975556747583996,0.2108871778120942,0.5645161290322581,1.0,0.062000000000000006
1,ic_weighted,2015-10-16,2018-10-16,2018-10-16,2019-04-16,2019-04-16,2019-07-16,-2.5135058742447924,-0.7209906373398058,-0.6554787602586285,-0.06565576773357894,-0.2139652779034119,-0.6312766152110296,-0.057513047922125415,0.5806451612903226,1.0,0.062000000000000006
1,icir_weighted,2015-10-16,2018-10-16,2018-10-16,2019-04-16,2019-04-16,2019-07-16,-2.5504175451626994,-0.7303309781097632,-0.6649345015577383,-0.8875885222783496,-0.5182644330855174,-0.6312766152110296,-0.16447225953140654,0.5483870967741935,1.0,0.062000000000000006
2,equal_weight,2016-01-16,2019-01-16,2019-01-16,2019-07-16,2019-07-16,2019-10-16,-0.45537905694215247,-0.26466229537814134,-0.5749052142596076,10.675496968056892,1508.4681642221553,-0.22648397591676928,5.605941920298005,0.7538461538461538,1.0,0.065
2,ic_weighted,2016-01-16,2019-01-16,2019-01-16,2019-07-16,2019-07-16,2019-10-16,-0.09891982248839083,-0.2045827142004525,-0.7635313579421726,11.810782820533468,2328.838038750402,-0.1501454080567426,6.388499364411538,0.7692307692307693,1.0,0.065
2,icir_weighted,2016-01-16,2019-01-16,2019-01-16,2019-07-16,2019-07-16,2019-10-16,-0.42259265022608544,-0.3359028894195262,-0.763714209808888,11.807798057468942,2325.5838753062853,-0.1501454080567426,6.385836139303846,0.7692307692307693,1.0,0.065
3,equal_weight,2016-04-16,2019-04-16,2019-04-16,2019-10-16,2019-10-16,2020-01-16,6.789548645489483,60.923541350828614,-0.3975556747583996,23.07885846717668,378952405.8639296,-0.0071232049215096405,138.5231161777883,0.9682539682539683,1.0,0.063
3,ic_weighted,2016-04-16,2019-04-16,2019-04-16,2019-10-16,2019-10-16,2020-01-16,4.703499741072335,6.892774274038054,-0.4082516960009206,22.161506332841554,91645471.70332803,0.0,96.84254797858877,1.0,1.0,0.063
3,icir_weighted,2016-04-16,2019-04-16,2019-04-16,2019-10-16,2019-10-16,2020-01-16,4.533417626279954,6.438298005287202,-0.4006966114049286,23.190098293351852,187112462.3511803,0.0,115.95685435440491,1.0,1.0,0.063
4,equal_weight,2016-07-16,2019-07-16,2019-07-16,2020-01-16,2020-01-16,2020-04-16,15.514529326251195,686306.402579962,-0.22648397591676928,14.999796723184488,16160463.51465606,-0.17146533056482005,58.36199451066316,0.8064516129032258,1.0,0.062000000000000006
4,ic_weighted,2016-07-16,2019-07-16,2019-07-16,2020-01-16,2020-01-16,2020-04-16,13.911884943846466,74532.86494094702,-0.21282557680653624,9.341023221480174,107934.4934818558,-0.5673580498947153,16.310842149235143,0.6935483870967742,1.0,0.062000000000000006
4,icir_weighted,2016-07-16,2019-07-16,2019-07-16,2020-01-16,2020-01-16,2020-04-16,14.082444555156831,86682.76972778769,-0.2147026900733363,9.719273330271287,143571.6012854565,-0.5230781239065541,17.569633080899738,0.6935483870967742,1.0,0.062000000000000006
5,equal_weight,2016-10-16,2019-10-16,2019-10-16,2020-04-16,2020-04-16,2020-07-16,18.360880690044784,79250091.5687312,-0.17146533056482027,14.995493478539101,13388.891599148643,-0.10557994256532854,9.757076700898896,0.8095238095238095,1.0,0.063
5,ic_weighted,2016-10-16,2019-10-16,2019-10-16,2020-04-16,2020-04-16,2020-07-16,14.283251818961656,10977491.813731033,-0.5346300264834984,12.147312868658771,3275.606960053331,-0.2575362970261327,6.565821440175377,0.7936507936507936,1.0,0.063
5,icir_weighted,2016-10-16,2019-10-16,2019-10-16,2020-04-16,2020-04-16,2020-07-16,13.80065453084219,7027136.257344467,-0.5404275131047843,13.28935957032131,5156.777245418336,-0.2575362970261328,7.4745304687920555,0.8095238095238095,1.0,0.063
6,equal_weight,2017-01-16,2020-01-16,2020-01-16,2020-07-16,2020-07-16,2020-10-16,14.006423973398972,452155.46351278335,-0.17146533056482005,6.666336904426962,348.42388763560473,-0.4033104200788491,3.5292207243820677,0.6461538461538462,1.0,0.065
6,ic_weighted,2017-01-16,2020-01-16,2020-01-16,2020-07-16,2020-07-16,2020-10-16,12.497870250980737,262258.9601470851,-0.3461152709877935,6.1831398171786685,214.14293198227705,-0.38205930657173326,2.9966441143026232,0.6153846153846154,1.0,0.065
6,icir_weighted,2017-01-16,2020-01-16,2020-01-16,2020-07-16,2020-07-16,2020-10-16,12.479330312748994,258488.68027142645,-0.33967421996212954,6.318108369883213,263.3532581667625,-0.38205930657173315,3.214730933710344,0.6153846153846154,1.0,0.065
7,equal_weight,2017-04-16,2020-04-16,2020-04-16,2020-10-16,2020-10-16,2021-01-16,9.793295766512825,2101.2982196856897,-0.4033104200788493,10.548236487558652,5298.546865918212,-0.21124818416535707,7.532173620398954,0.7142857142857143,1.0,0.063
7,ic_weighted,2017-04-16,2020-04-16,2020-04-16,2020-10-16,2020-10-16,2021-01-16,10.3367048308028,4824.791873905499,-0.38205930657173304,8.982416874917623,1585.667106664188,-0.30480049317443236,5.311338224164651,0.6507936507936508,1.0,0.063
7,icir_weighted,2017-04-16,2020-04-16,2020-04-16,2020-10-16,2020-10-16,2021-01-16,10.490696004274948,5182.987077675575,-0.38205930657173315,9.679433828440258,2653.3269338940027,-0.2616283919853548,6.177754555616815,0.6825396825396826,1.0,0.063
8,equal_weight,2017-07-16,2020-07-16,2020-07-16,2021-01-16,2021-01-16,2021-04-16,8.461226295711663,1331.2017235821124,-0.5534417286521004,-12.145870997619546,-0.9970157140362694,-0.7793511136316645,-0.7552340183850295,0.18032786885245902,1.0,0.061000000000000006
8,ic_weighted,2017-07-16,2020-07-16,2020-07-16,2021-01-16,2021-01-16,2021-04-16,9.767943680949205,5940.7474254237295,-0.6423648611983236,-10.160637059683026,-0.9960454834360932,-0.7978947189059605,-0.7379742112011889,0.2786885245901639,1.0,0.061000000000000006
8,icir_weighted,2017-07-16,2020-07-16,2020-07-16,2021-01-16,2021-01-16,2021-04-16,9.750243548781466,5435.040900537767,-0.6423648611983237,-10.29075622699085,-0.9968241248903814,-0.8083424378806169,-0.7515194871616366,0.2786885245901639,1.0,0.061000000000000006
9,equal_weight,2017-10-16,2020-10-16,2020-10-16,2021-04-16,2021-04-16,2021-07-16,2.204848935893102,3.4661978699476954,-0.8069403875466433,-0.31374813359791937,-0.28553700795733494,-0.415739577047491,-0.08062024866910023,0.47619047619047616,1.0,0.063
9,ic_weighted,2017-10-16,2020-10-16,2020-10-16,2021-04-16,2021-04-16,2021-07-16,1.4871138715782244,1.5686501009528775,-0.8430534045796348,-3.160054843910715,-0.7295070789310566,-0.3853767160512518,-0.27882780176499355,0.4444444444444444,1.0,0.063
9,icir_weighted,2017-10-16,2020-10-16,2020-10-16,2021-04-16,2021-04-16,2021-07-16,1.451981206858232,1.50060038953373,-0.8554642311316846,-3.003191251911511,-0.7368506598118278,-0.3741974414208493,-0.2837731937213219,0.4603174603174603,1.0,0.063
10,equal_weight,2018-01-16,2021-01-16,2021-01-16,2021-07-16,2021-07-16,2021-10-16,-5.273978083626147,-0.951738958009218,-0.8817084099403762,17.142751056474843,863.6366457507559,-0.06734629026817718,4.721588409806485,0.8923076923076924,1.0,0.065
10,ic_weighted,2018-01-16,2021-01-16,2021-01-16,2021-07-16,2021-07-16,2021-10-16,-8.404161877575854,-0.9866927939140686,-0.8944076632720138,6.195727086794858,445.78457046573226,-0.5769331369677536,3.8256638563168046,0.6615384615384615,1.0,0.065
10,icir_weighted,2018-01-16,2021-01-16,2021-01-16,2021-07-16,2021-07-16,2021-10-16,-8.792018140659085,-0.988183027160447,-0.9013137152166051,5.96584930660088,285.21791641863194,-0.568282894697008,3.302013785718641,0.6615384615384615,1.0,0.065
