feature,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct,mean_top2_bottom2_spread,median_top2_bottom2_spread,spread_sharpe,positive_spread_pct
sector_Technology,1917,0.02975130247114828,0.0,0.355422909463202,0.08370676644362038,48.774126238914974,0.001085634826730515,0.0011127789195051999,1.0460078781010698,53.31246739697444
Volume,1917,0.02403132517990676,0.04242424242424241,0.40294515393491304,0.059639196414776816,53.990610328638496,0.0017493586206430082,0.0011750015605634999,1.2409341969203067,52.947313510693796
volume_change,1917,0.02315477010647722,0.0303030303030303,0.3598984172906848,0.06433696008108712,52.52999478351591,0.0008257949595396312,0.0012959216328667922,0.6070952162648993,53.103808033385505
price_ma200_ratio,1917,0.018889081127481864,0.0303030303030303,0.4094034420716936,0.046138061350676336,51.27803860198227,0.0015965215640160878,0.00103299268140065,1.043143131462995,52.321335419926974
return_60d,1917,0.01749534802652132,0.01818181818181818,0.3940654380380763,0.04439706286759115,52.0605112154408,0.000822713761117298,0.0005195559969763002,0.5465102954834736,51.538862806468444
price_ma50_ratio,1917,0.014141250531922589,0.01818181818181818,0.39412869990267707,0.03587977870024313,51.43453312467396,0.0008576784120554515,0.0009077183002060998,0.5905916304754416,52.112676056338024
volume_ratio_20,1917,0.011425007223107296,0.01818181818181818,0.35152478901885126,0.0325012846320053,52.26917057902973,0.00044351765776634426,0.00025249131083530246,0.32558024526461626,50.75639019300991
relative_strength_20d,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.0007468348217237403,0.0008250647906618497,0.5263820716343721,51.74752217005738
momentum_20,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.0007468348217237403,0.0008250647906618497,0.5263820716343721,51.74752217005738
return_20d,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.0007468348217237403,0.0008250647906618497,0.5263820716343721,51.74752217005738
macd_signal,1917,0.011096152905652834,0.01818181818181818,0.36818493071730435,0.030137444473990593,52.52999478351591,4.768014355729335e-05,0.00036105584938464974,0.03645195754326242,51.06937923839332
momentum_5,1917,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567,0.0010216498393323683,0.0012619581338196,0.695544027985573,52.47782994261867
return_5d,1917,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567,0.0010216498393323683,0.0012619581338196,0.695544027985573,52.47782994261867
volatility_60,1917,0.009479329158105338,0.01818181818181818,0.41136758040589866,0.023043452157197296,51.74752217005738,0.0015104061915226872,0.00103299268140065,1.0248440119096363,52.738654147104846
volatility_10,1917,0.0081580508334811,0.006060606060606061,0.3956629373381479,0.020618688443160737,51.382368283776735,0.001069118754804924,0.000746955706392903,0.7460752927222308,51.956181533646316
macd,1917,0.007394020330615854,0.01818181818181818,0.3684259921090779,0.020069214683492653,51.382368283776735,0.00021535487998964302,0.00023912510519924967,0.1634533750029668,50.75639019300991
price_ma20_ratio,1917,0.00688014816990985,0.006060606060606061,0.38378468960992085,0.017927104327436407,50.18257694314032,0.0003465383197387779,0.0007555896095832004,0.23544105662147838,51.64319248826291
beta_60,1917,0.006033095671624115,0.01818181818181818,0.4165396880270161,0.014483843544898461,50.96504955659885,0.0005407750450374806,-4.1080198973899185e-05,0.3630736328790932,49.97391757955138
rsi_14,1917,0.0036644254870356187,-0.006060606060606061,0.36549544802723166,0.010025912789925078,49.76525821596244,0.00012751917643270044,0.00037019290162514963,0.09644023762087883,51.01721439749609
volatility_20,1917,0.001079199396808261,0.006060606060606061,0.39845116931562646,0.0027084859574182632,50.23474178403756,0.0007157513086113285,0.0006418460309851001,0.49634903341497294,51.4866979655712
return_10d,1917,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903,0.00021620752749125697,8.615110552919955e-05,0.14416941180621987,50.130412102243085
momentum_10,1917,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903,0.00021620752749125697,8.615110552919955e-05,0.14416941180621987,50.130412102243085
sector_Consumer,1917,-0.0028380746719347564,0.0,0.3764863729400599,-0.00753831977973504,46.009389671361504,0.00023011827642127996,-4.361570460024956e-05,0.1840932950878144,49.713093375065206
macd_hist,1917,-0.01066955176779069,-0.01818181818181818,0.36273760564041096,-0.029413966464694675,48.72196139801774,-8.913077748749314e-05,6.088012118484962e-05,-0.07121064381912921,50.18257694314032
return_1d,1917,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,-0.0001428397598973612,-0.00016352654818450017,-0.10426455675550524,49.45226917057903
log_return_1d,1917,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,-0.0001428397598973612,-0.00016352654818450017,-0.10426455675550524,49.45226917057903
relative_strength_1d,1917,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,-0.0001428397598973612,-0.00016352654818450017,-0.10426455675550524,49.45226917057903
sector_Financials,1917,-0.017284491534095586,-0.058025885318565944,0.3402815376608525,-0.0507946791733452,47.835159102764734,-0.0005052658503005839,-0.0008492354128982992,-0.42608911178578757,47.15701617110068
High,1917,-0.022203320557782853,-0.0303030303030303,0.3700266237931758,-0.060004656773544135,46.948356807511736,-0.0015755481500453394,-0.0014021838578506499,-1.2853592596262842,45.90505998956703
Open,1917,-0.02242153180651273,-0.0303030303030303,0.36996153805418275,-0.06060503457856471,47.052686489306204,-0.0016222147426967046,-0.0014378343739281504,-1.3246581654800627,45.852895148669795
Low,1917,-0.022453146861601964,-0.01818181818181818,0.369731549307659,-0.06072824162191897,47.00052164840897,-0.0016374879877697416,-0.001332779865807699,-1.3356285093829716,45.90505998956703
Close,1917,-0.023101188122317082,-0.0303030303030303,0.36992747514386665,-0.06244788417873778,46.79186228482003,-0.001616958508112938,-0.0013580826062782499,-1.32012795190219,45.80073030777256
sector_Energy,1917,-0.027515082395003096,-0.058025885318565944,0.3662164309670702,-0.0751333912635865,47.052686489306204,0.00017274360762444902,-0.00034186328080220004,0.1370127289445205,49.13928012519562
