feature,importance
vix,1.0
High,0.0
Open,0.0
Close,0.0
Volume,0.0
return_1d,0.0
return_5d,0.0
return_10d,0.0
return_20d,0.0
return_60d,0.0
Low,0.0
price_ma20_ratio,0.0
price_ma50_ratio,0.0
price_ma200_ratio,0.0
momentum_5,0.0
momentum_10,0.0
momentum_20,0.0
volatility_10,0.0
volatility_20,0.0
volatility_60,0.0
rsi_14,0.0
macd,0.0
macd_signal,0.0
macd_hist,0.0
volume_change,0.0
volume_ratio_20,0.0
log_return_1d,0.0
relative_strength_1d,0.0
relative_strength_20d,0.0
beta_60,0.0
vix_change,0.0
vix_ma10,0.0
vix_ma20,0.0
vix_ratio_ma20,0.0
sector_Consumer,0.0
sector_Energy,0.0
sector_Financials,0.0
sector_Technology,0.0
lstm_prediction,0.0
rag_sentiment_z,0.0
rag_sentiment_rank,0.0
rag_sentiment_decay_z,0.0
rag_confidence_z,0.0
rag_growth_relevance_z,0.0
rag_catalyst_relevance_z,0.0
rag_risk_relevance_z,0.0
rag_outlook_relevance_z,0.0
rag_age_days,0.0
rag_freshness,0.0
ticker_AAPL,0.0
ticker_AMZN,0.0
ticker_AVGO,0.0
ticker_GOOGL,0.0
ticker_JPM,0.0
ticker_META,0.0
ticker_MSFT,0.0
ticker_NVDA,0.0
ticker_TSLA,0.0
ticker_XOM,0.0
