feature,horizon,split,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
return_1d,1,train,1917,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603
return_5d,1,train,1917,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567
return_10d,1,train,1917,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903
return_20d,1,train,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396
return_60d,1,train,1917,0.01749534802652132,0.01818181818181818,0.3940654380380763,0.04439706286759115,52.0605112154408
price_ma20_ratio,1,train,1917,0.00688014816990985,0.006060606060606061,0.38378468960992085,0.017927104327436407,50.18257694314032
price_ma50_ratio,1,train,1917,0.014141250531922589,0.01818181818181818,0.39412869990267707,0.03587977870024313,51.43453312467396
price_ma200_ratio,1,train,1917,0.018889081127481864,0.0303030303030303,0.4094034420716936,0.046138061350676336,51.27803860198227
momentum_5,1,train,1917,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567
momentum_10,1,train,1917,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903
momentum_20,1,train,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396
volatility_10,1,train,1917,0.0081580508334811,0.006060606060606061,0.3956629373381479,0.020618688443160737,51.382368283776735
volatility_20,1,train,1917,0.001079199396808261,0.006060606060606061,0.39845116931562646,0.0027084859574182632,50.23474178403756
volatility_60,1,train,1917,0.009479329158105338,0.01818181818181818,0.41136758040589866,0.023043452157197296,51.74752217005738
rsi_14,1,train,1917,0.0036644254870356187,-0.006060606060606061,0.36549544802723166,0.010025912789925078,49.76525821596244
macd,1,train,1917,0.007394020330615854,0.01818181818181818,0.3684259921090779,0.020069214683492653,51.382368283776735
macd_signal,1,train,1917,0.011096152905652834,0.01818181818181818,0.36818493071730435,0.030137444473990593,52.52999478351591
macd_hist,1,train,1917,-0.01066955176779069,-0.01818181818181818,0.36273760564041096,-0.029413966464694675,48.72196139801774
volume_change,1,train,1917,0.02315477010647722,0.0303030303030303,0.3598984172906848,0.06433696008108712,52.52999478351591
volume_ratio_20,1,train,1917,0.011425007223107296,0.01818181818181818,0.35152478901885126,0.0325012846320053,52.26917057902973
relative_strength_1d,1,train,1917,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603
relative_strength_20d,1,train,1917,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396
beta_60,1,train,1917,0.006033095671624115,0.01818181818181818,0.4165396880270161,0.014483843544898461,50.96504955659885
return_1d,3,train,1917,-0.00852365945425081,-0.006060606060606061,0.38177260700910104,-0.02232653495238231,49.66092853416797
return_5d,3,train,1917,0.0028906554366316954,-0.006060606060606061,0.3850735765547474,0.007506761337649767,49.50443401147627
return_10d,3,train,1917,-0.0012380975244429128,-0.006060606060606061,0.38441391090685745,-0.003220740689435926,49.713093375065206
return_20d,3,train,1917,0.020746877047381717,0.006060606060606061,0.386640215596073,0.05365938723005522,50.70422535211267
return_60d,3,train,1917,0.028653446233952693,0.01818181818181818,0.39613488095535476,0.07233255037993486,52.58215962441315
price_ma20_ratio,3,train,1917,0.009536409490845247,0.01818181818181818,0.38898141968587324,0.02451636250015873,51.538862806468444
price_ma50_ratio,3,train,1917,0.02420558332231934,0.006060606060606061,0.38988527601605366,0.062083861103086814,50.70422535211267
price_ma200_ratio,3,train,1917,0.03658917152850888,0.0303030303030303,0.410843396026321,0.08905868241378466,53.15597287428273
momentum_5,3,train,1917,0.0028906554366316954,-0.006060606060606061,0.3850735765547474,0.007506761337649767,49.50443401147627
momentum_10,3,train,1917,-0.0012380975244429128,-0.006060606060606061,0.38441391090685745,-0.003220740689435926,49.713093375065206
momentum_20,3,train,1917,0.020746877047381717,0.006060606060606061,0.386640215596073,0.05365938723005522,50.70422535211267
volatility_10,3,train,1917,0.02874856087367707,0.01818181818181818,0.3872424578627525,0.07423917571524714,51.85185185185185
volatility_20,3,train,1917,0.02407894986838311,0.0303030303030303,0.392503049905419,0.06134716628109103,52.47782994261867
volatility_60,3,train,1917,0.027031796013717527,0.0303030303030303,0.40251904078322115,0.06715656472081193,52.52999478351591
rsi_14,3,train,1917,0.007829138771500205,-0.006060606060606061,0.3680841840390809,0.021269967879600487,49.556598852373504
macd,3,train,1917,0.007445720812936283,0.006060606060606061,0.36895025295292616,0.020180825879217577,51.12154407929056
macd_signal,3,train,1917,0.008244956140990894,0.006060606060606061,0.3671386210116842,0.022457338098266968,51.330203442879494
macd_hist,3,train,1917,-0.022546490669182472,-0.0303030303030303,0.3652495873678256,-0.061728996962498874,47.67866458007303
volume_change,3,train,1917,0.00620248884499807,0.006060606060606061,0.35792690850669395,0.01732892581581938,50.80855503390714
volume_ratio_20,3,train,1917,0.00024688615232817637,0.006060606060606061,0.36095833601338867,0.0006839740981048263,50.75639019300991
relative_strength_1d,3,train,1917,-0.00852365945425081,-0.006060606060606061,0.38177260700910104,-0.02232653495238231,49.66092853416797
relative_strength_20d,3,train,1917,0.020746877047381717,0.006060606060606061,0.386640215596073,0.05365938723005522,50.70422535211267
beta_60,3,train,1917,0.016639725300043966,0.0303030303030303,0.40238892828469264,0.04135234379080942,52.42566510172144
return_1d,5,train,1917,0.0033068962659828696,0.006060606060606061,0.3840830461538315,0.008609847008603457,50.599895670318205
return_5d,5,train,1917,0.007932217321888682,0.006060606060606061,0.38615363088081267,0.02054161009387733,50.91288471570161
return_10d,5,train,1917,-0.0011729185438105595,-0.006060606060606061,0.39070772993747055,-0.0030020356751023973,49.869587897756915
return_20d,5,train,1917,0.0230315676325066,0.01818181818181818,0.38642854952858785,0.05960110261160383,52.164840897235266
return_60d,5,train,1917,0.0293419326283176,0.0303030303030303,0.4015156299592298,0.07307793380620575,52.947313510693796
price_ma20_ratio,5,train,1917,0.011656470811400392,0.01818181818181818,0.3918531393096975,0.029747039495293687,51.4866979655712
price_ma50_ratio,5,train,1917,0.030233477181833987,0.01818181818181818,0.3878140303933419,0.07795869878964813,52.0605112154408
price_ma200_ratio,5,train,1917,0.04090671977995921,0.0303030303030303,0.4064044374229769,0.10065519963155418,53.78195096504955
momentum_5,5,train,1917,0.007932217321888682,0.006060606060606061,0.38615363088081267,0.02054161009387733,50.91288471570161
momentum_10,5,train,1917,-0.0011729185438105595,-0.006060606060606061,0.39070772993747055,-0.0030020356751023973,49.869587897756915
momentum_20,5,train,1917,0.0230315676325066,0.01818181818181818,0.38642854952858785,0.05960110261160383,52.164840897235266
volatility_10,5,train,1917,0.03888967926526611,0.04242424242424241,0.38763574132936973,0.10032531864037271,54.51225873761085
volatility_20,5,train,1917,0.031864814024438436,0.0303030303030303,0.38304894264732403,0.08318731753758318,53.52112676056338
volatility_60,5,train,1917,0.03698645294889426,0.05454545454545454,0.3964062495012224,0.09330441433613222,54.19926969222744
rsi_14,5,train,1917,0.00014859075891939942,-0.006060606060606061,0.3654029086079077,0.0004066490863072012,49.50443401147627
macd,5,train,1917,0.00650321683185533,0.006060606060606061,0.361281619448162,0.01800040877193985,50.91288471570161
macd_signal,5,train,1917,0.0037210919840027818,0.006060606060606061,0.36095408818372465,0.010309045127392369,50.91288471570161
macd_hist,5,train,1917,-0.022791293213828424,-0.01818181818181818,0.3644555180306523,-0.06253518491634301,48.56546687532603
volume_change,5,train,1917,0.0035187556314316875,0.006060606060606061,0.34845865652083663,0.01009805773392023,50.91288471570161
volume_ratio_20,5,train,1917,0.011296059183383127,0.01818181818181818,0.3537868499761651,0.031928996750851965,52.21700573813249
relative_strength_1d,5,train,1917,0.0033068962659828696,0.006060606060606061,0.3840830461538315,0.008609847008603457,50.599895670318205
relative_strength_20d,5,train,1917,0.0230315676325066,0.01818181818181818,0.38642854952858785,0.05960110261160383,52.164840897235266
beta_60,5,train,1917,0.02525094449977079,0.01818181818181818,0.3924803732227455,0.06433683369292979,52.112676056338024
return_1d,10,train,1917,-0.0012518984370072134,0.006060606060606061,0.38388426854455415,-0.003261135033622552,50.02608242044862
return_5d,10,train,1917,-0.007028026746336609,-0.01818181818181818,0.3853519728271532,-0.018237941523369283,48.40897235263432
return_10d,10,train,1917,-0.0025450119346832906,0.006060606060606061,0.3821108613330566,-0.006660401972884512,50.130412102243085
return_20d,10,train,1917,0.029986879752137967,0.04242424242424241,0.37887825286202775,0.07914647918063004,54.25143453312467
return_60d,10,train,1917,0.04584499138489749,0.06666666666666665,0.39735011459245995,0.1153768168203957,55.97287428273344
price_ma20_ratio,10,train,1917,0.013034887213290967,0.01818181818181818,0.38251257678614464,0.03407701603646491,51.85185185185185
price_ma50_ratio,10,train,1917,0.03886438722119473,0.04242424242424241,0.39021600569132003,0.09959711199529413,54.147104851330205
price_ma200_ratio,10,train,1917,0.05312910007745688,0.06666666666666665,0.39742474470789035,0.13368342254709656,55.9207094418362
momentum_5,10,train,1917,-0.007028026746336609,-0.01818181818181818,0.3853519728271532,-0.018237941523369283,48.40897235263432
momentum_10,10,train,1917,-0.0025450119346832906,0.006060606060606061,0.3821108613330566,-0.006660401972884512,50.130412102243085
momentum_20,10,train,1917,0.029986879752137967,0.04242424242424241,0.37887825286202775,0.07914647918063004,54.25143453312467
volatility_10,10,train,1917,0.035070580610486714,0.0303030303030303,0.3780238701854626,0.09277345526694045,52.52999478351591
volatility_20,10,train,1917,0.029025782077425268,0.0303030303030303,0.38679415895955876,0.07504193485108976,52.84298382889933
volatility_60,10,train,1917,0.045402380613648215,0.05454545454545454,0.4030723044078091,0.11264078458665887,54.877412623891495
rsi_14,10,train,1917,0.009803828583171303,0.006060606060606061,0.355902789495908,0.027546366234041622,50.39123630672926
macd,10,train,1917,0.00328480422377136,-0.01818181818181818,0.35986024312682197,0.009127999790223365,48.5133020344288
macd_signal,10,train,1917,0.002532365912647605,0.006060606060606061,0.36687488721876826,0.00690253271856558,50.49556598852374
macd_hist,10,train,1917,-0.029537945969870853,-0.0303030303030303,0.3613011374210683,-0.08175436750825028,46.322378716744915
volume_change,10,train,1917,0.0027916093643793167,0.006060606060606061,0.3472042306497818,0.008040251580906453,50.07824726134585
volume_ratio_20,10,train,1917,0.005352428826607229,0.01818181818181818,0.353824030068718,0.015127375112333965,51.538862806468444
relative_strength_1d,10,train,1917,-0.0012518984370072134,0.006060606060606061,0.38388426854455415,-0.003261135033622552,50.02608242044862
relative_strength_20d,10,train,1917,0.029986879752137967,0.04242424242424241,0.37887825286202775,0.07914647918063004,54.25143453312467
beta_60,10,train,1917,0.03759978501762539,0.05454545454545454,0.40365080868934167,0.09314928697829761,54.40792905581638
return_1d,20,train,1917,0.009563140328720375,0.0303030303030303,0.37808404980610005,0.025293688886438927,52.42566510172144
return_5d,20,train,1917,0.02045810214824299,0.0303030303030303,0.3702625235819683,0.055252964708198446,53.20813771517997
return_10d,20,train,1917,0.02718578587123188,0.01818181818181818,0.3741255384173739,0.07266487603661917,52.21700573813249
return_20d,20,train,1917,0.042152352950475015,0.05454545454545454,0.36768689796870135,0.11464197713692575,55.712050078247266
return_60d,20,train,1917,0.0702454909027679,0.07878787878787878,0.38155398065823964,0.1841036772348268,56.598852373500264
price_ma20_ratio,20,train,1917,0.037378479632000756,0.0303030303030303,0.3724743465992465,0.1003518228121549,53.31246739697444
price_ma50_ratio,20,train,1917,0.05118793569497795,0.05454545454545454,0.37371063402196397,0.13697211434440876,55.08607198748044
price_ma200_ratio,20,train,1917,0.07634719653498996,0.09090909090909088,0.3859001571799299,0.19784183839912844,59.25925925925925
momentum_5,20,train,1917,0.02045810214824299,0.0303030303030303,0.3702625235819683,0.055252964708198446,53.20813771517997
momentum_10,20,train,1917,0.02718578587123188,0.01818181818181818,0.3741255384173739,0.07266487603661917,52.21700573813249
momentum_20,20,train,1917,0.042152352950475015,0.05454545454545454,0.36768689796870135,0.11464197713692575,55.712050078247266
volatility_10,20,train,1917,0.02673052907794691,0.0303030303030303,0.3674697752072585,0.07274211617233142,52.84298382889933
volatility_20,20,train,1917,0.02769162675265961,0.0303030303030303,0.37928214963429796,0.07301062488535183,52.63432446531038
volatility_60,20,train,1917,0.05852262847568011,0.05454545454545454,0.38660794595938597,0.15137461370705516,56.07720396452791
rsi_14,20,train,1917,0.03198495123377752,0.0303030303030303,0.3530494337921601,0.09059623999455849,54.25143453312467
macd,20,train,1917,0.005188030540143216,-0.006060606060606061,0.357886690937331,0.014496293579834977,49.29577464788733
macd_signal,20,train,1917,0.004713804713804709,-0.006060606060606061,0.3606783097650341,0.013069276932332147,49.45226917057903
macd_hist,20,train,1917,-0.009146235437315253,-0.0303030303030303,0.35026509364726094,-0.026112323503540688,47.835159102764734
volume_change,20,train,1917,-0.0019380028769700115,0.006060606060606061,0.349633627956645,-0.005542953314577413,50.91288471570161
volume_ratio_20,20,train,1917,-0.01149207252493637,-0.01818181818181818,0.35066837858790134,-0.03277190994869152,48.09598330725091
relative_strength_1d,20,train,1917,0.009563140328720375,0.0303030303030303,0.37808404980610005,0.025293688886438927,52.42566510172144
relative_strength_20d,20,train,1917,0.042152352950475015,0.05454545454545454,0.36768689796870135,0.11464197713692575,55.712050078247266
beta_60,20,train,1917,0.061658841940532075,0.07878787878787878,0.41299172244859755,0.14929800911011323,56.75534689619197
return_1d,1,validation,412,-0.0006178287731685798,0.036363636363636355,0.3800178180710616,-0.0016257889598562155,53.883495145631066
return_5d,1,validation,412,-0.018534863195057365,0.0,0.3777220545196903,-0.049070111139330255,50.0
return_10d,1,validation,412,-0.0019123271550456086,-0.01818181818181818,0.3921658795399392,-0.004876322124936043,49.51456310679612
return_20d,1,validation,412,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,0.0037949580791074152,49.029126213592235
return_60d,1,validation,412,0.010561929979405707,0.01818181818181818,0.40941562675357357,0.02579757412572557,51.213592233009706
price_ma20_ratio,1,validation,412,0.0016475433951162084,0.0303030303030303,0.37416467022540695,0.004403257512591137,52.9126213592233
price_ma50_ratio,1,validation,412,-0.0035010297146219477,0.01818181818181818,0.39352350900678984,-0.008896621509241373,51.45631067961165
price_ma200_ratio,1,validation,412,0.005207413945278021,0.030303030303030297,0.45786873662262906,0.01137315900554687,50.728155339805824
momentum_5,1,validation,412,-0.018534863195057365,0.0,0.3777220545196903,-0.049070111139330255,50.0
momentum_10,1,validation,412,-0.0019123271550456086,-0.01818181818181818,0.3921658795399392,-0.004876322124936043,49.51456310679612
momentum_20,1,validation,412,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,0.0037949580791074152,49.029126213592235
volatility_10,1,validation,412,0.008649602824360106,0.01818181818181818,0.4126245257387885,0.02096240597640996,51.45631067961165
volatility_20,1,validation,412,0.008649602824360102,0.04242424242424241,0.4089539193557848,0.021150556126190483,53.15533980582524
volatility_60,1,validation,412,0.016769638128861432,0.01818181818181818,0.4355388864156014,0.03850319374894909,53.15533980582524
rsi_14,1,validation,412,0.010061782877316862,0.0303030303030303,0.3485945513558009,0.02886385584107158,53.883495145631066
macd,1,validation,412,-0.010797293321565163,-0.012121212121212121,0.369621218236867,-0.02921177894783588,48.30097087378641
macd_signal,1,validation,412,-0.013474551338629006,-0.006060606060606061,0.36712030769498405,-0.03670336686965331,49.51456310679612
macd_hist,1,validation,412,-0.0025595763459841155,-0.006060606060606061,0.34940145517712135,-0.007325602993515281,49.271844660194176
volume_change,1,validation,412,-0.007296263606943218,-0.006060606060606061,0.3464614810625837,-0.021059378908633266,49.51456310679612
volume_ratio_20,1,validation,412,-0.005707561047366875,0.006060606060606061,0.34232503209306625,-0.016672929269791723,51.94174757281553
relative_strength_1d,1,validation,412,-0.0006178287731685798,0.036363636363636355,0.3800178180710616,-0.0016257889598562155,53.883495145631066
relative_strength_20d,1,validation,412,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,0.0037949580791074152,49.029126213592235
beta_60,1,validation,412,0.021829949985289792,0.04242424242424241,0.4819721062562792,0.04529297380890782,52.42718446601942
return_1d,3,validation,412,0.009208590761988817,0.01818181818181818,0.3904119940629521,0.02358685414901463,52.18446601941748
return_5d,3,validation,412,-0.019005589879376283,-0.0303030303030303,0.3835693366687153,-0.04954929412355818,46.359223300970875
return_10d,3,validation,412,-0.024713150926743154,-0.0303030303030303,0.3977448234718604,-0.06213318054280487,48.05825242718447
return_20d,3,validation,412,-8.826125330979865e-05,-0.006060606060606061,0.4052596709668249,-0.00021778938205036403,49.75728155339806
return_60d,3,validation,412,0.016710797293321564,0.036363636363636355,0.4216251226823918,0.03963425420906365,52.18446601941748
price_ma20_ratio,3,validation,412,-0.008855545748749633,-0.006060606060606061,0.3979787551264178,-0.02225130270065967,49.51456310679612
price_ma50_ratio,3,validation,412,-0.02124154162989115,-0.04242424242424242,0.4206199809282604,-0.050500552976616764,47.81553398058252
price_ma200_ratio,3,validation,412,0.008325978228890854,0.01818181818181818,0.46407638432000675,0.017940965130321358,50.970873786407765
momentum_5,3,validation,412,-0.019005589879376283,-0.0303030303030303,0.3835693366687153,-0.04954929412355818,46.359223300970875
momentum_10,3,validation,412,-0.024713150926743154,-0.0303030303030303,0.3977448234718604,-0.06213318054280487,48.05825242718447
momentum_20,3,validation,412,-8.826125330979865e-05,-0.006060606060606061,0.4052596709668249,-0.00021778938205036403,49.75728155339806
volatility_10,3,validation,412,0.02124154162989115,0.04242424242424241,0.4021403739964276,0.05282121120740751,52.9126213592233
volatility_20,3,validation,412,0.022918505442777286,0.05454545454545454,0.4050148619004359,0.05658682581482973,54.12621359223301
volatility_60,3,validation,412,0.04110032362459548,0.07878787878787878,0.4348832832258275,0.09450886067573395,55.582524271844655
