fold,test_start,test_end,horizon,feature,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
1,2019-04-16,2019-07-16,1,price_ma200_ratio,62,0.039882697947214094,-0.02424242424242424,0.3207432177918007,0.12434463375965306,48.38709677419355
1,2019-04-16,2019-07-16,1,return_60d,62,0.004887585532746821,-0.04848484848484848,0.3568346133115379,0.013697061188623167,40.32258064516129
1,2019-04-16,2019-07-16,1,beta_60,62,0.0455522971652004,0.036363636363636355,0.3909031094872101,0.11653091535893965,53.2258064516129
1,2019-04-16,2019-07-16,1,volatility_10,62,-0.06373411534701856,-0.0303030303030303,0.4581295910845762,-0.13911809362965266,45.16129032258064
1,2019-04-16,2019-07-16,1,volatility_20,62,-0.024828934506353862,-0.060606060606060594,0.4269203814777586,-0.05815823180052925,45.16129032258064
1,2019-04-16,2019-07-16,1,volatility_60,62,-0.03558162267839687,-0.05454545454545454,0.4511093624855158,-0.07887582399609212,41.935483870967744
1,2019-04-16,2019-07-16,1,price_ma50_ratio,62,-0.012903225806451611,-0.01212121212121212,0.3784473125660507,-0.03409517092078597,50.0
1,2019-04-16,2019-07-16,1,volume_ratio_20,62,-0.09716520039100683,-0.09090909090909091,0.3890242768658666,-0.24976641862509996,38.70967741935484
1,2019-04-16,2019-07-16,1,rsi_14,62,-0.002150537634408607,-0.060606060606060594,0.3360546403196909,-0.006399368960841567,41.935483870967744
1,2019-04-16,2019-07-16,1,momentum_20,62,0.03695014662756598,0.00606060606060606,0.422855884339517,0.0873823635806335,50.0
1,2019-04-16,2019-07-16,3,price_ma200_ratio,62,0.05728250244379276,0.018181818181818177,0.383855307977733,0.14922941340989782,50.0
1,2019-04-16,2019-07-16,3,return_60d,62,-0.009579667644183781,-0.07272727272727272,0.4224553210232011,-0.022676167555379587,45.16129032258064
1,2019-04-16,2019-07-16,3,beta_60,62,0.07917888563049852,0.09090909090909091,0.4004661977396621,0.19771677629074624,59.67741935483871
1,2019-04-16,2019-07-16,3,volatility_10,62,-0.016031280547409578,-0.006060606060606061,0.5321059090623207,-0.030127988196297178,48.38709677419355
1,2019-04-16,2019-07-16,3,volatility_20,62,0.015249266862170093,-0.01212121212121212,0.4535644216239275,0.033620950266716486,50.0
1,2019-04-16,2019-07-16,3,volatility_60,62,0.00039100684261974834,0.0303030303030303,0.4991951805548017,0.0007832744742951771,50.0
1,2019-04-16,2019-07-16,3,price_ma50_ratio,62,-0.019941348973607033,-0.07272727272727272,0.39657323819715845,-0.050284151962097574,41.935483870967744
1,2019-04-16,2019-07-16,3,volume_ratio_20,62,-0.1360703812316715,-0.16969696969696968,0.33984193946885227,-0.40039313995306,41.935483870967744
1,2019-04-16,2019-07-16,3,rsi_14,62,-0.02952101661779082,-0.09696969696969696,0.4076958921462753,-0.07240940413301764,37.096774193548384
1,2019-04-16,2019-07-16,3,momentum_20,62,0.06705767350928642,0.01818181818181818,0.4357724523337835,0.15388231438256,51.61290322580645
1,2019-04-16,2019-07-16,5,price_ma200_ratio,62,0.026588465298142704,-0.0303030303030303,0.4007945785502315,0.06633938361721223,48.38709677419355
