fold,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_strategy,selected_factors,validation_sharpe,validation_cagr,test_sharpe,test_cagr,test_total_return,test_max_drawdown,test_hit_rate,test_days,test_total_cost
1,2015-10-16,2018-10-16,2018-10-16,2019-04-16,2019-04-16,2019-07-16,top3_equal,price_ma200_ratio|volatility_60|beta_60,0.43181395517835097,0.058369739704584145,-0.9939073985133807,-0.12176166669542232,-0.030108293634906413,-0.09944723323728655,0.45,60,0.006
2,2016-01-16,2019-01-16,2019-01-16,2019-07-16,2019-07-16,2019-10-16,all_equal,volatility_60|price_ma200_ratio|macd_hist|beta_60|macd|return_60d|volatility_10|macd_signal|price_ma50_ratio|return_5d|momentum_5|volatility_20|volume_ratio_20|momentum_20|return_20d|relative_strength_20d|momentum_10|return_10d|volume_change|relative_strength_1d|return_1d|price_ma20_ratio|rsi_14,1.2847026038275406,0.20704147495706082,0.7555137053788622,0.09587901000488985,0.021279427247298477,-0.052473069375371995,0.5833333333333334,60,0.006
3,2016-04-16,2019-04-16,2019-04-16,2019-10-16,2019-10-16,2020-01-16,best_single,beta_60,1.5728892829954544,0.1971214022427774,-1.5070725021362958,-0.15631801788629052,-0.03923226281682968,-0.09562324047070236,0.4666666666666667,60,0.006
4,2016-07-16,2019-07-16,2019-07-16,2020-01-16,2020-01-16,2020-04-16,top3_equal,beta_60|price_ma200_ratio|return_60d,2.7313586225730933,0.27731713634918176,3.0141974198371044,1.248336046631756,0.21555392618316693,-0.07889816639040514,0.5666666666666667,60,0.006
5,2016-10-16,2019-10-16,2019-10-16,2020-04-16,2020-04-16,2020-07-16,top7_equal,beta_60|volatility_60|volatility_10|return_60d|volatility_20|macd_hist|return_20d,3.409426468559543,1.3720714155307743,1.6729429984481023,0.3710942642697448,0.07621226600789277,-0.05328016443975392,0.55,60,0.006
6,2017-01-16,2020-01-16,2020-01-16,2020-07-16,2020-07-16,2020-10-16,top3_equal,beta_60|return_60d|volatility_60,3.264452558448101,1.2796715119062854,1.9187753177004725,0.5840555986381983,0.11158606744857491,-0.05323976761892002,0.6166666666666667,60,0.006
7,2017-04-16,2020-04-16,2020-04-16,2020-10-16,2020-10-16,2021-01-16,top7_equal,beta_60|price_ma200_ratio|return_60d|volatility_60|price_ma50_ratio|momentum_20|return_20d,2.8999937755809526,1.0628664390505649,-0.13758102446277526,-0.06719482079771466,-0.016619239942609942,-0.13960523752908516,0.5,60,0.006
8,2017-07-16,2020-07-16,2020-07-16,2021-01-16,2021-01-16,2021-04-16,best_single,price_ma200_ratio,1.669327887164508,0.6321218229421195,-1.9957131443629486,-0.28079284062940835,-0.07383695656479494,-0.09384002496150223,0.4166666666666667,60,0.006
9,2017-10-16,2020-10-16,2020-10-16,2021-04-16,2021-04-16,2021-07-16,top3_equal,price_ma200_ratio|return_60d|price_ma50_ratio,-0.7426680299045721,-0.16642286247116367,-2.4787074361050427,-0.23895257971175576,-0.06297085507269906,-0.06430416276497919,0.4,60,0.006
10,2018-01-16,2021-01-16,2021-01-16,2021-07-16,2021-07-16,2021-10-16,best_single,return_60d,-0.6310598051845254,-0.10166331786240657,0.5826209801365636,0.07081557202633681,0.015859779476791624,-0.058559859965054306,0.5166666666666667,60,0.006
11,2018-04-16,2021-04-16,2021-04-16,2021-10-16,2021-10-16,2022-01-16,best_single,return_60d,0.1936353475541731,0.016927098322050638,1.4600675926026647,0.38708426654953865,0.0791201274661204,-0.11900013538773357,0.5166666666666667,60,0.006
12,2018-07-16,2021-07-16,2021-07-16,2022-01-16,2022-01-16,2022-04-16,best_single,return_60d,1.9805137652618243,0.41844931886276804,0.3285867616566346,0.05272572979940593,0.01188706993317612,-0.12309857159994086,0.5666666666666667,60,0.006
13,2018-10-16,2021-10-16,2021-10-16,2022-04-16,2022-04-16,2022-07-16,all_equal,return_60d|price_ma50_ratio|return_20d|relative_strength_20d|momentum_20|price_ma200_ratio|volatility_20|volatility_60|price_ma20_ratio|beta_60|return_10d|momentum_10|rsi_14|macd_signal|volatility_10|macd|return_5d|momentum_5|volume_ratio_20|macd_hist|volume_change|return_1d|relative_strength_1d,1.5476825416862745,0.31770448193170875,0.7672518265467058,0.14256233192365508,0.03187745070821224,-0.06709663521143983,0.48333333333333334,60,0.006
14,2019-01-16,2022-01-16,2022-01-16,2022-07-16,2022-07-16,2022-10-16,best_single,return_60d,0.22598366138693715,0.0259504131553685,-1.34929364222744,-0.22233295363708871,-0.056189526237494514,-0.08842936512416355,0.48333333333333334,60,0.006
15,2019-04-16,2022-04-16,2022-04-16,2022-10-16,2022-10-16,2023-01-16,all_equal,return_60d|price_ma200_ratio|price_ma50_ratio|momentum_20|relative_strength_20d|return_20d|rsi_14|volatility_20|volatility_60|price_ma20_ratio|macd_signal|macd|beta_60|return_10d|momentum_10|volatility_10|return_5d|momentum_5|macd_hist|volume_ratio_20|return_1d|relative_strength_1d|volume_change,1.5546418385885405,0.31472094305304243,4.441408239377265,1.277191021172733,0.21381234582023745,-0.02996485461293552,0.65,60,0.006
16,2019-07-16,2022-07-16,2022-07-16,2023-01-16,2023-01-16,2023-04-16,all_equal,return_60d|price_ma200_ratio|price_ma50_ratio|rsi_14|momentum_20|relative_strength_20d|return_20d|price_ma20_ratio|momentum_10|return_10d|macd_hist|macd|volatility_60|macd_signal|volatility_20|momentum_5|return_5d|volume_ratio_20|return_1d|relative_strength_1d|volatility_10|beta_60|volume_change,3.5636339154977805,0.9893902330855018,3.8216437449819205,0.9351672911430027,0.16606930531360042,-0.03058967647349653,0.6,60,0.006
17,2019-10-16,2022-10-16,2022-10-16,2023-04-16,2023-04-16,2023-07-16,all_equal,price_ma200_ratio|return_60d|price_ma50_ratio|rsi_14|momentum_20|relative_strength_20d|return_20d|price_ma20_ratio|macd_hist|return_10d|momentum_10|beta_60|return_5d|momentum_5|macd|volatility_10|volume_ratio_20|macd_signal|volatility_20|return_1d|relative_strength_1d|volatility_60|volume_change,1.6606814234755674,0.33355616871631066,0.8160893289147942,0.12842474944468485,0.028856831290554386,-0.09516124316845309,0.48333333333333334,60,0.006
18,2020-01-16,2023-01-16,2023-01-16,2023-07-16,2023-07-16,2023-10-16,top3_equal,price_ma200_ratio|return_60d|rsi_14,1.1596115311090995,0.23769821874380948,-3.490964597335235,-0.4074987655943888,-0.11340924722839996,-0.13690125081300464,0.4166666666666667,60,0.006
19,2020-04-16,2023-04-16,2023-04-16,2023-10-16,2023-10-16,2024-01-16,top3_equal,price_ma200_ratio|return_60d|macd_hist,2.0766950792831738,0.46395922143806234,1.6546481193924307,0.2839678363356122,0.060619565389861796,-0.04712962652213415,0.5833333333333334,60,0.006
20,2020-07-16,2023-07-16,2023-07-16,2024-01-16,2024-01-16,2024-04-16,best_single,macd_hist,0.718251049258526,0.0907945837221753,2.8904061961664693,0.7153102821378483,0.13379777992511843,-0.03761717913846585,0.5166666666666667,60,0.006
