fold,scheme,validation_sharpe,validation_cagr,validation_max_dd,test_sharpe,test_cagr,test_total_return,test_max_dd,test_hit_rate,test_cost,test_days
1,equal_weight,0.6960450676434592,0.10611633521680663,-0.08350399009349829,0.4434767253277045,0.04945734853195538,0.011559929207081376,-0.05319052037081473,0.45,0.006,60
1,ic_weighted,0.43574540948022755,0.06052310281142792,-0.07694809207677011,-0.9150030172983475,-0.11339447472188124,-0.028249293365395722,-0.09944723323728655,0.4666666666666667,0.006,60
1,icir_weighted,0.4830015208396027,0.06822069001408426,-0.07516014533809712,-0.9150030172983475,-0.11339447472188124,-0.028249293365395722,-0.09944723323728655,0.4666666666666667,0.006,60
2,equal_weight,-0.45154966655680084,-0.06813833358273924,-0.08801905872420956,1.7868741508870758,0.27050483241988643,0.05865942176105787,-0.042399576731607325,0.55,0.006,60
2,ic_weighted,-0.26633740424383917,-0.04498078553035345,-0.08801905872420956,2.1816747153014244,0.2882333619151003,0.06215812765096773,-0.037689249266375846,0.5666666666666667,0.006,60
2,icir_weighted,-0.26633740424383917,-0.04498078553035345,-0.08801905872420956,2.1816747153014244,0.2882333619151003,0.06215812765096773,-0.037689249266375846,0.5666666666666667,0.006,60
3,equal_weight,0.6675979181078062,0.08333454245407701,-0.06461570255780735,4.95150808064815,1.134934270034857,0.19791191048403411,-0.02361516735368674,0.6833333333333333,0.006,60
3,ic_weighted,1.4666151500952107,0.13454762055327762,-0.03847338450956406,5.680143283767484,0.7905101280794573,0.14876862885997966,-0.02140408933570659,0.7,0.006,60
3,icir_weighted,1.6195407955591161,0.14950377745151067,-0.03847338450956406,5.680143283767484,0.7905101280794573,0.14876862885997966,-0.02140408933570659,0.7,0.006,60
4,equal_weight,3.547576912299123,0.6606651960673549,-0.042399576731607325,3.1925501263724136,1.7420950273141136,0.27146777455828186,-0.13998525377359172,0.6666666666666666,0.006,60
4,ic_weighted,2.220539206450474,0.2238290794284652,-0.07632793997300003,3.0141974198371044,1.2701354350565595,0.21555392618316693,-0.07889816639040514,0.5666666666666667,0.006,60
4,icir_weighted,2.220539206450474,0.2238290794284652,-0.07632793997300003,3.0141974198371044,1.2701354350565595,0.21555392618316693,-0.07889816639040514,0.5666666666666667,0.006,60
5,equal_weight,3.775242546014018,1.52386755882557,-0.11476460336800354,1.7450652139522045,0.37829263472612396,0.07938538217440128,-0.05328016443975392,0.55,0.006,60
5,ic_weighted,2.6371582278895693,0.902329930267239,-0.14390894852800518,2.653825916705583,0.6295866252432938,0.12329708357353963,-0.043652231891897264,0.48333333333333334,0.006,60
5,icir_weighted,2.6371582278895693,0.902329930267239,-0.14390894852800518,2.653825916705583,0.6295866252432938,0.12329708357353963,-0.043652231891897264,0.48333333333333334,0.006,60
6,equal_weight,2.6667815649200737,1.037047693111746,-0.13998525377359172,2.169847059476327,0.7625235110964934,0.14446773141924174,-0.10990648837842121,0.55,0.006,60
6,ic_weighted,2.5929189419696463,0.9395135478171615,-0.12628444605712053,1.14061607799377,0.3309817511953037,0.07044605497018197,-0.10990648837842121,0.5666666666666667,0.006,60
6,icir_weighted,2.5929189419696463,0.9395135478171615,-0.12628444605712053,1.7988091641418136,0.5801011043242501,0.11507973449366626,-0.10990648837842132,0.55,0.006,60
7,equal_weight,1.752027837045067,0.4993144047404965,-0.11213511615861205,1.3835087748655717,0.36918477340558487,0.0776828380743586,-0.08670344078331294,0.5166666666666667,0.006,60
7,ic_weighted,2.2369201689059404,0.6805560683076362,-0.11213511615861205,0.774142058174184,0.18387134499864022,0.04100653174553015,-0.0867882339651953,0.5166666666666667,0.006,60
7,icir_weighted,2.2369201689059404,0.6805560683076362,-0.11213511615861205,0.774142058174184,0.18387134499864022,0.04100653174553015,-0.0867882339651953,0.5166666666666667,0.006,60
8,equal_weight,1.3276550851994484,0.380213015505124,-0.12248806894347986,-1.2986089263278797,-0.19352937905837464,-0.049922181294940526,-0.08074482348854817,0.4166666666666667,0.006,60
8,ic_weighted,1.4895350901966753,0.449592805024271,-0.12177445166292933,-1.2986089263278797,-0.19352937905837464,-0.049922181294940526,-0.08074482348854817,0.4166666666666667,0.006,60
8,icir_weighted,1.4895350901966753,0.449592805024271,-0.12177445166292933,-1.2986089263278797,-0.19352937905837464,-0.049922181294940526,-0.08074482348854817,0.4166666666666667,0.006,60
9,equal_weight,0.12330921562633496,0.003920011621538322,-0.08670344078331294,-1.7502603853900522,-0.2225968142069935,-0.05818975890913458,-0.0960121583211937,0.43333333333333335,0.006,60
9,ic_weighted,-0.6095337389502757,-0.15699724423419892,-0.14073616530450506,-1.5752260154990065,-0.15523239660755583,-0.039369241568221414,-0.06736426506037074,0.45,0.006,60
9,icir_weighted,-0.42149391004136616,-0.11654646556558779,-0.14073616530450506,-1.5752260154990065,-0.15523239660755583,-0.039369241568221414,-0.06736426506037074,0.45,0.006,60
10,equal_weight,-1.6469472903121891,-0.22367528054460628,-0.14717416085096924,1.5328864363191876,0.16243589065163122,0.03648745521241881,-0.037880025941415374,0.5833333333333334,0.006,60
10,ic_weighted,-1.1979563534127484,-0.1519718294789335,-0.07893790254151178,-0.4336550778973632,-0.04874236503965934,-0.011827203078193405,-0.04359224216386581,0.55,0.006,60
10,icir_weighted,-1.1979563534127484,-0.1519718294789335,-0.07893790254151178,-0.9229126136980524,-0.09757633703687363,-0.024149146392546728,-0.05125525212186066,0.5333333333333333,0.006,60
11,equal_weight,-0.4642622972713572,-0.06348764672144847,-0.0960121583211937,1.0476596816952826,0.2542179931615882,0.05541229522879565,-0.10810766193191579,0.45,0.006,60
11,ic_weighted,-1.7605154822476021,-0.1877189456452968,-0.09341780395598465,1.2918478428872677,0.33580197713606763,0.07136780355419514,-0.105821897029175,0.45,0.006,60
11,icir_weighted,-1.7605154822476021,-0.1877189456452968,-0.09341780395598465,1.2918478428872677,0.33580197713606763,0.07136780355419514,-0.105821897029175,0.45,0.006,60
12,equal_weight,0.8179255293124479,0.12957448119173653,-0.0892245941950437,-0.4112487145989083,-0.11021202075385106,-0.02741993113705432,-0.08153297204542698,0.5,0.006,60
12,ic_weighted,-0.05515643162653687,-0.024276637429439862,-0.10430117342882894,0.8108794064118893,0.12492724841398628,0.028424667343616816,-0.04839563044057049,0.55,0.006,60
12,icir_weighted,0.14688105215626146,0.010560217409402606,-0.1043011734288285,0.8108794064118893,0.12492724841398628,0.028424667343616816,-0.04839563044057049,0.55,0.006,60
13,equal_weight,0.7238077650230507,0.15280693003575396,-0.1678912699618872,-1.828888492509021,-0.34268613041555385,-0.0950750332203657,-0.12613679175052295,0.5166666666666667,0.006,60
13,ic_weighted,1.0414336169050822,0.227041292775227,-0.1398613318752988,-0.8781370296714743,-0.16839667846169126,-0.04295483792892729,-0.08916200977060285,0.5333333333333333,0.006,60
13,icir_weighted,1.0414336169050822,0.227041292775227,-0.1398613318752988,-0.8781370296714743,-0.16839667846169126,-0.04295483792892729,-0.08916200977060285,0.5333333333333333,0.006,60
14,equal_weight,-1.3336707490624904,-0.2752618538633288,-0.1931831269827946,-0.3778551181335457,-0.06870054402079173,-0.01680350593031099,-0.06675592382755113,0.5333333333333333,0.006,60
14,ic_weighted,-0.6614331106124263,-0.132078211078551,-0.09662729989075347,-0.3057416837723896,-0.05088923670287848,-0.01235865656046431,-0.08061903066510956,0.5166666666666667,0.006,60
14,icir_weighted,-0.6614331106124263,-0.132078211078551,-0.09662729989075347,-0.3057416837723896,-0.05088923670287848,-0.01235865656046431,-0.08061903066510956,0.5166666666666667,0.006,60
15,equal_weight,-0.9629069616076175,-0.18167158251902227,-0.12613679175052295,3.1155934199489472,0.7086016761093861,0.1360322838107153,-0.0689632424081359,0.5833333333333334,0.006,60
15,ic_weighted,-0.7495192557274606,-0.12990239383470392,-0.0908666388330347,1.9175280069420995,0.47732684639581513,0.09736617397375147,-0.08564876366935958,0.55,0.006,60
15,icir_weighted,-0.7495192557274606,-0.12990239383470392,-0.0908666388330347,1.527031120344806,0.3654791846909098,0.07698767758952618,-0.08662714773313585,0.5166666666666667,0.006,60
16,equal_weight,1.4399678830322926,0.25263360550062486,-0.08842684759006825,5.315044355361874,1.8361275493339315,0.2817161224762268,-0.03058967647349664,0.65,0.006,60
16,ic_weighted,0.4501009646870873,0.07194576079625148,-0.12870970816648142,0.9478215607574457,0.16779051551757607,0.037622241511379384,-0.07646617461216554,0.5166666666666667,0.006,60
16,icir_weighted,0.4501009646870873,0.07194576079625148,-0.12870970816648142,0.9478215607574457,0.16779051551757607,0.037622241511379384,-0.07646617461216554,0.5166666666666667,0.006,60
17,equal_weight,3.9771389484058113,1.0191293297256179,-0.0689632424081359,2.157153583733121,0.6106206754754562,0.1201704500711942,-0.05078636925987756,0.55,0.006,60
17,ic_weighted,0.24837306453200986,0.031065389526512055,-0.19137624484360494,1.9194204942453084,0.47394219768579826,0.09676704726578489,-0.06283201101826763,0.5,0.006,60
17,icir_weighted,0.24837306453200986,0.031065389526512055,-0.19137624484360494,1.6185525520284103,0.4086283280644294,0.0849949543878663,-0.06283201101826763,0.5,0.006,60
18,equal_weight,3.3445253237360153,0.9905645011480924,-0.08543284786926741,-1.081778701597015,-0.15717785865546996,-0.039896439955018126,-0.08544691873266008,0.48333333333333334,0.006,60
18,ic_weighted,-0.5815924854803992,-0.11861724723079248,-0.13533855329867972,-3.5317934671903983,-0.38029544419911054,-0.10768095154960322,-0.1284377133016602,0.4166666666666667,0.006,60
18,icir_weighted,-0.7698771253930897,-0.1403382687043424,-0.13533855329867972,-2.1362671826955153,-0.2600086615156638,-0.0691847608789351,-0.09670140978393005,0.45,0.006,60
19,equal_weight,1.480050580439645,0.33147764962530957,-0.08325104072342682,1.6230153270187837,0.26052622207141196,0.05667376487741871,-0.042266111222282854,0.6,0.006,60
19,ic_weighted,0.4347435067964879,0.06737302445146165,-0.09549657203188655,1.9042848251163267,0.3133498716144987,0.06705257477833881,-0.03558192088861156,0.5666666666666667,0.006,60
19,icir_weighted,0.4347435067964879,0.06737302445146165,-0.09549657203188655,1.9042848251163267,0.3133498716144987,0.06705257477833881,-0.03558192088861156,0.5666666666666667,0.006,60
20,equal_weight,-1.36469528323682,-0.18353228103492547,-0.11710791120462949,2.269176468681136,0.5232223518059416,0.1053888316838758,-0.045962051796400005,0.5,0.006,60
20,ic_weighted,-0.7611022977724003,-0.12789945542719972,-0.14592870345679143,3.557412538730697,1.0840959760412652,0.19105766763844634,-0.042589805555063864,0.5166666666666667,0.006,60
20,icir_weighted,-1.3381430894107296,-0.19825308005232745,-0.14592870345679143,3.557412538730697,1.0840959760412652,0.19105766763844634,-0.042589805555063864,0.5166666666666667,0.006,60
21,equal_weight,2.30446155079909,0.4574250593648528,-0.04401242008931183,2.408296457329034,0.7156398772701338,0.13714473720622933,-0.0744819638979125,0.5833333333333334,0.006,60
21,ic_weighted,-0.3835388870851266,-0.08666530313698795,-0.08672619341558441,1.3215758246487779,0.3288878779770803,0.07004486116843234,-0.0744819638979125,0.5833333333333334,0.006,60
21,icir_weighted,-0.3835388870851266,-0.08666530313698795,-0.08672619341558441,1.3215758246487779,0.3288878779770803,0.07004486116843234,-0.0744819638979125,0.5833333333333334,0.006,60
22,equal_weight,2.318264171123871,0.5895905458908828,-0.08166910751951573,-0.8970877485287673,-0.23658932776193842,-0.06225384494734154,-0.106321398796702,0.45,0.006,60
22,ic_weighted,1.1656884171823159,0.2480082001991819,-0.15870879781977398,0.7114233988168274,0.1909505337964008,0.042485286574766024,-0.09161806933946182,0.5666666666666667,0.006,60
22,icir_weighted,0.9950254531622947,0.19613944645089498,-0.16260824580438904,1.8244396216439276,0.5828620803723026,0.11554333671214168,-0.06403906983024166,0.5833333333333334,0.006,60
23,equal_weight,0.6351700615530581,0.1349296202237198,-0.16226853990730572,2.0650985216023554,0.6196833445636929,0.12166795690976251,-0.05189966460868267,0.5,0.006,60
23,ic_weighted,0.10447704579907752,-0.007621292106290367,-0.1622685399073054,2.250139535978326,0.678054772077896,0.13116320452773889,-0.0475968729070273,0.5,0.006,60
23,icir_weighted,0.31657561856173766,0.050432210045730175,-0.16226853990730605,2.250139535978326,0.678054772077896,0.13116320452773889,-0.0475968729070273,0.5,0.006,60
24,equal_weight,0.7355368805903915,0.1556528187980275,-0.106321398796702,-1.8121068040982404,-0.393672760383304,-0.11230537468586121,-0.19084573093510893,0.45,0.006,60
24,ic_weighted,1.0560063599280567,0.25169706379257284,-0.10668333894729076,-2.7237468411405534,-0.5281182103002284,-0.16374015740857917,-0.23772973003985065,0.43333333333333335,0.006,60
24,icir_weighted,1.0560063599280567,0.25169706379257284,-0.10668333894729076,-2.7237468411405534,-0.5281182103002284,-0.16374015740857917,-0.23772973003985065,0.43333333333333335,0.006,60
25,equal_weight,0.30214567575561013,0.045794386068884974,-0.19195730590572502,2.5753775740867693,0.5940399538162022,0.11741396796057524,-0.05679787918554002,0.65,0.006,60
25,ic_weighted,1.0581013735545042,0.3123325037380231,-0.20921034067172717,1.7423251575696608,0.3576100737235435,0.07550666871139122,-0.05821885749171396,0.5666666666666667,0.006,60
25,icir_weighted,1.06988537537368,0.3137590403327597,-0.20093118121610798,1.7423251575696608,0.3576100737235435,0.07550666871139122,-0.05821885749171396,0.5666666666666667,0.006,60
26,equal_weight,-0.20759630732602952,-0.07082955218090858,-0.19084573093510893,0.31860116500569935,0.03654055616116514,0.0085815599212542,-0.05809204195446771,0.43333333333333335,0.006,60
26,ic_weighted,-0.4069178360393725,-0.12021896032665347,-0.17890981443998488,1.4202961362734066,0.22136256232055573,0.04876282951998823,-0.053079455291480615,0.5666666666666667,0.006,60
26,icir_weighted,-0.4069178360393725,-0.12021896032665347,-0.17890981443998488,1.4202961362734066,0.22136256232055573,0.04876282951998823,-0.053079455291480615,0.5666666666666667,0.006,60
27,equal_weight,1.606682737127457,0.28127564144781547,-0.05679787918554002,-0.8691453831496655,-0.15586352092178235,-0.03954016771402313,-0.08324215402547941,0.45,0.006,60
27,ic_weighted,0.8710901098653595,0.13474896230446953,-0.09618632064305954,-1.3786144416754533,-0.2148078857042207,-0.05595158181665272,-0.09070690963888084,0.5,0.006,60
27,icir_weighted,0.8710901098653595,0.13474896230446953,-0.09618632064305954,-1.3786144416754533,-0.2148078857042207,-0.05595158181665272,-0.09070690963888084,0.5,0.006,60
28,equal_weight,0.06998461968014177,-0.002217662758159933,-0.07813961073724651,0.3275244315765567,0.03764375300279421,0.008837037289350036,-0.07318117395355839,0.48333333333333334,0.006,60
28,ic_weighted,0.7089363279620952,0.11126090420872736,-0.07519659570998005,0.9785867996148737,0.16701766440132726,0.037458699099476744,-0.07330329893768184,0.5666666666666667,0.006,60
28,icir_weighted,0.4552816381938637,0.06496659910146652,-0.07519659570997983,0.9785867996148737,0.16701766440132726,0.037458699099476744,-0.07330329893768184,0.5666666666666667,0.006,60
29,equal_weight,-0.42415030977611246,-0.07499633367713665,-0.10243782031213378,-1.6751538769489571,-0.3061860244348281,-0.08335594804732349,-0.10309211390753537,0.5,0.006,60
29,ic_weighted,-0.7109320371353683,-0.12195547440832843,-0.1324742665507036,-1.6256842195087597,-0.34391399913456,-0.09547779820088143,-0.11334531853790786,0.48333333333333334,0.006,60
29,icir_weighted,-0.7437444599766382,-0.12338502245658012,-0.13314713565780056,-1.989431314572462,-0.38774278403774887,-0.11024593848538256,-0.12782173569350352,0.48333333333333334,0.006,60
