factor,mean_ic,icir,fold
price_ma200_ratio,0.07172954030096887,0.20403821651069548,1
return_60d,0.029824778396206973,0.08864458337983991,1
beta_60,0.0697670583384869,0.18505464891252812,1
volatility_60,0.071581117295403,0.18499514981486717,1
momentum_20,-0.0003710575139146577,-0.001045753334104601,1
volatility_20,0.01692846835703977,0.04739426925378131,1
volatility_10,0.02769738198309626,0.08203427543191652,1
price_ma200_ratio,0.05786475105276194,0.16546223450482558,2
return_60d,0.0314590042110478,0.09310190133885578,2
beta_60,0.0494756832631492,0.13485832746619333,2
volatility_60,0.0632317727685575,0.17861798680328977,2
momentum_20,0.009495499958715212,0.026946132247386248,2
volatility_20,0.010403765172157547,0.031095073632350416,2
volatility_10,0.029510362480389726,0.0905795004388393,2
price_ma200_ratio,0.0497894476096111,0.14038234847733772,3
return_60d,0.04689951283956733,0.14205661981599793,3
beta_60,0.05888861365700602,0.1582349455437778,3
volatility_60,0.04217653372966724,0.12081648925375271,3
momentum_20,0.023086450334406747,0.06986354170033256,3
volatility_20,-0.007183552142680199,-0.022364226541866133,3
volatility_10,0.009462472132771856,0.029962084758257627,3
price_ma200_ratio,0.04806316920914463,0.13492927951862305,4
return_60d,0.042523461077349195,0.12753341802186147,4
beta_60,0.07402538343875316,0.2051736047756151,4
volatility_60,0.014179999173177887,0.03766706513683494,4
momentum_20,0.030699904915457436,0.08914337616148986,4
volatility_20,-0.009169457191285297,-0.02735993896683591,4
volatility_10,0.009814378436479396,0.030219731262111776,4
price_ma200_ratio,0.018049706878044743,0.04960347391389246,5
return_60d,0.02686813640492115,0.07928011160623953,5
beta_60,0.08306498224754356,0.22714023362823774,5
volatility_60,0.04163157460160184,0.10898985971616314,5
momentum_20,0.019915779043844437,0.05747029604352132,5
volatility_20,0.022475435554454627,0.06549786688179332,5
volatility_10,0.0323837833374618,0.09507314621746486,5
price_ma200_ratio,0.053522984951556385,0.1413355951940372,6
return_60d,0.06717790146361574,0.18984852351648568,6
beta_60,0.10491032776747063,0.2780371828733497,6
volatility_60,0.057563388991960424,0.14559626103674164,6
momentum_20,0.02954442383013812,0.085590429080403,6
volatility_20,0.03597608740465884,0.1009093572193819,6
volatility_10,0.044337250051535756,0.1255932447520141,6
price_ma200_ratio,0.09099154813440527,0.23734795890587784,7
return_60d,0.08355390641104929,0.2314346742660162,7
beta_60,0.10911564625850338,0.29969177799219504,7
volatility_60,0.0680684394970109,0.1756037948648894,7
momentum_20,0.06552875695732836,0.1828436550624474,7
volatility_20,0.05634302205730776,0.1583063368841503,7
volatility_10,0.06127396413110698,0.17199603008798234,7
price_ma200_ratio,0.10425066996495568,0.26594942184717835,8
return_60d,0.10027623170480311,0.27318039246276216,8
beta_60,0.079150690579262,0.2156521957616443,8
volatility_60,0.05866831581117295,0.15085267824128784,8
momentum_20,0.06404452690166974,0.17987386943877823,8
volatility_20,0.03155638012780868,0.08849446102789182,8
volatility_10,0.03158936301793444,0.08962244040077243,8
price_ma200_ratio,0.15615942028985505,0.38048999110261966,9
return_60d,0.14929183135704874,0.38908586071069745,9
beta_60,0.06376811594202897,0.1740053035884464,9
volatility_60,0.06457509881422924,0.17026731108479462,9
momentum_20,0.0948945981554677,0.26328840632424644,9
volatility_20,0.04632740447957839,0.12977565105104608,9
volatility_10,0.049835309617918294,0.14001331210351728,9
price_ma200_ratio,0.14223921713745322,0.3499817716521743,10
return_60d,0.14533119526335264,0.37478837942707854,10
beta_60,0.0317996792895029,0.08579066537470688,10
volatility_60,0.048525965215246075,0.1268362227694901,10
momentum_20,0.10179680111837505,0.2752874033801293,10
volatility_20,0.043575510875375194,0.11756726564534249,10
volatility_10,0.04873977221331359,0.1322563594885215,10
price_ma200_ratio,0.10685111989459815,0.2557784116491356,11
return_60d,0.1417490118577075,0.3511707066047606,11
beta_60,0.03306982872200262,0.08803866759027497,11
volatility_60,0.04433465085638998,0.11805335411995649,11
momentum_20,0.10344202898550724,0.27758816968578987,11
volatility_20,0.043000658761528324,0.11469421943045974,11
volatility_10,0.042901844532279305,0.11474418472020097,11
price_ma200_ratio,0.0973155467720685,0.22737075476397053,12
return_60d,0.16004611330698285,0.39164730545856874,12
beta_60,0.03878458498023714,0.09622910112681655,12
volatility_60,0.045948616600790505,0.124025039543254,12
momentum_20,0.09957180500658759,0.2613864147299862,12
volatility_20,0.06118247694334649,0.16483307918524073,12
volatility_10,0.053689064558629755,0.14388286463771635,12
price_ma200_ratio,0.08596837944664033,0.1932879684660659,13
return_60d,0.17154150197628457,0.4151345059666026,13
beta_60,0.06366930171277996,0.1630532580755992,13
volatility_60,0.07139328063241106,0.19850843254822598,13
momentum_20,0.08796113306982871,0.2265390211026308,13
volatility_20,0.08000658761528326,0.2135606488990724,13
volatility_10,0.056933465085638985,0.14962228011404916,13
price_ma200_ratio,0.10034949220837956,0.22662709901827383,14
return_60d,0.1707084412647506,0.41437851832665573,14
beta_60,0.08211011060400476,0.20583813223712885,14
volatility_60,0.061535298713046346,0.16445086828381625,14
momentum_20,0.0756794539698203,0.19610333393864618,14
volatility_20,0.07559722050902509,0.19705982246301626,14
volatility_10,0.05114098926853336,0.13123799721606316,14
price_ma200_ratio,0.11123720241766373,0.2506329780492532,15
return_60d,0.15945890382796757,0.3718876071893193,15
beta_60,0.05420007401011471,0.1288712882212902,15
volatility_60,0.06324575469758643,0.16122094656033797,15
momentum_20,0.08018584762139712,0.20494792489930672,15
volatility_20,0.06776859504132231,0.16785610860873695,15
volatility_10,0.04941408659183421,0.12241352158915766,15
price_ma200_ratio,0.1250030837547798,0.2884011869446934,16
return_60d,0.16286336910488877,0.38093847600587016,16
beta_60,0.007507914970601531,0.017303424570669346,16
volatility_60,0.037128407549031704,0.10138255655053047,16
momentum_20,0.06334443485054068,0.16285514718187913,16
volatility_20,0.029842522922577205,0.07473355359515381,16
volatility_10,0.01012293902388882,0.02580081129125626,16
price_ma200_ratio,0.1331192358366271,0.30780603795516964,17
return_60d,0.1208333333333333,0.27347785938231,17
beta_60,-0.03302042160737812,-0.07593058715495785,17
volatility_60,0.004463109354413702,0.012448298689185244,17
momentum_20,0.055797101449275355,0.14570929156926063,17
volatility_20,-0.012779973649538867,-0.03284398171644392,17
volatility_10,-0.025131752305665344,-0.06614509566619683,17
price_ma200_ratio,0.09288806431663574,0.22497209992641143,18
return_60d,0.08355390641104926,0.19682011313930145,18
beta_60,-0.05342403628117914,-0.12277674892331583,18
volatility_60,-0.03409606266749124,-0.09714988122618504,18
momentum_20,0.04389198103483818,0.11669684112634436,18
volatility_20,-0.051494537208822896,-0.13360041337523923,18
volatility_10,-0.05504019789734074,-0.1472725622740603,18
price_ma200_ratio,0.05748093176664604,0.13663334126191035,19
return_60d,0.05007627293341578,0.11862993942505488,19
beta_60,-0.0036198721913007527,-0.007881772729744448,19
volatility_60,0.0008658008658008747,0.0022655736079565396,19
momentum_20,0.025141207998350852,0.06677085630162229,19
volatility_20,-0.02738404452690167,-0.06772641536906118,19
volatility_10,-0.031622345908060186,-0.08171666542303499,19
price_ma200_ratio,0.035075551151845415,0.08953262958656384,20
return_60d,0.04070679547518784,0.09866670009789527,20
beta_60,0.03603335810420278,0.07528575946555548,20
volatility_60,0.014812979935595745,0.037879375226465783,20
momentum_20,0.03003880769548344,0.07841836157595247,20
volatility_20,-0.010750557344562801,-0.02660400922418885,20
volatility_10,-0.009512013871686893,-0.024433521617771087,20
price_ma200_ratio,0.0011492827318202506,0.0031667617573018845,21
