Date,gross_return,long_contribution,short_contribution,market_return,turnover,transaction_cost,net_return,K
2025-01-22,-0.00321006485,-0.0003797576,-0.00283030725,0.0024505496500000002,1.0,0.001,-0.00421006485,1
2025-01-23,0.004796287749999999,-0.0019672315,0.00676351925,-0.00873075075,0.0,0.0,0.004796287749999999,1
2025-01-24,0.008941856999999998,0.0158901175,-0.0069482605,0.022838378,0.0,0.0,0.008941856999999998,1
2025-01-27,0.027938774,0.0182719175,0.0096668565,0.008605060999999999,0.0,0.0,0.027938774,1
2025-01-28,-0.00060713715,0.002308428,-0.00291556515,0.00522399315,0.0,0.0,-0.00060713715,1
2025-01-29,-0.00783834925,-0.00369732825,-0.004141021,0.0004436927499999999,0.0,0.0,-0.00783834925,1
2025-01-30,-0.005867975500000001,-0.0183714235,0.012503448,-0.0308748715,1.0,0.001,-0.006867975500000001,1
2025-01-31,-0.015416907349999998,-0.014200013,-0.00121689435,-0.01298311865,0.0,0.0,-0.015416907349999998,1
2025-02-03,-0.004870884499999999,0.008529052,-0.0133999365,0.0219289885,0.0,0.0,-0.004870884499999999,1
2025-02-04,0.026406803950000002,0.026042985,0.00036381895,0.02567916605,0.0,0.0,0.026406803950000002,1
2025-02-05,0.022018969,0.0154209265,0.0065980425,0.008822884,0.0,0.0,0.022018969,1
2025-02-06,0.0023860615000000003,0.0045072135,-0.002121152,0.0066283655,0.0,0.0,0.0023860615000000003,1
2025-02-07,0.0048130329999999995,0.014364017,-0.009550984,0.023915000999999998,0.0,0.0,0.0048130329999999995,1
2025-02-10,-0.006237599,-0.003083621,-0.003153978,7.035700000000006e-05,1.0,0.001,-0.007237599,1
2025-02-11,0.010429794,-0.0046136145,0.0150434085,-0.019657023,0.0,0.0,0.010429794,1
2025-02-12,0.0032565320000000004,0.006889578,-0.003633046,0.010522624000000001,0.0,0.0,0.0032565320000000004,1
2025-02-13,-0.0029529812,-0.002444406,-0.0005085752,-0.0019358308000000002,0.0,0.0,-0.0029529812,1
2025-02-14,-0.01271792125,-0.00394107775,-0.0087768435,0.004835765749999999,0.0,0.0,-0.01271792125,1
2025-02-18,0.0128754235,0.0040811725,0.008794251,-0.0047130785,1.0,0.001,0.0118754235,1
2025-02-19,0.0044283434000000005,-0.0019160791,0.0063444225,-0.008260501600000001,0.0,0.0,0.0044283434000000005,1
2025-02-20,-0.005150555499999999,-0.0132747905,0.008124235,-0.021399025500000002,0.0,0.0,-0.005150555499999999,1
2025-02-21,0.01013827475,-0.00114104525,0.01127932,-0.01242036525,0.0,0.0,0.01013827475,1
2025-02-24,-0.003763293,-0.010683391,0.006920098,-0.017603489,1.0,0.001,-0.004763293,1
2025-02-25,-0.006437164950000001,-0.00766743625,0.0012302713,-0.00889770755,0.0,0.0,-0.006437164950000001,1
2025-02-26,-0.015396251849999999,-0.0122444255,-0.00315182635,-0.00909259915,0.0,0.0,-0.015396251849999999,1
2025-02-27,-7.447000000000009e-05,0.0052818355,-0.0053563055,0.010638141,0.0,0.0,-7.447000000000009e-05,1
2025-02-28,0.006431563000000001,-0.009601822,0.016033385,-0.025635207,0.0,0.0,0.006431563000000001,1
2025-03-03,0.0127267076,0.0117059535,0.0010207541,0.0106851994,0.0,0.0,0.0127267076,1
2025-03-04,0.0159069845,0.006143155,0.0097638295,-0.0036206744999999997,0.0,0.0,0.0159069845,1
2025-03-05,-0.0320751475,-0.021737544,-0.0103376035,-0.0113999405,1.0,0.001,-0.0330751475,1
2025-03-06,0.0030822984999999995,0.009586717,-0.0065044185,0.0160911355,1.0,0.001,0.0020822984999999995,1
2025-03-07,-0.0380849765,-0.02533503,-0.0127499465,-0.012585083500000002,0.0,0.0,-0.0380849765,1
2025-03-10,0.0201261285,0.008319282,0.0118068465,-0.0034875645,0.0,0.0,0.0201261285,1
2025-03-11,0.03227537525,0.032137985,0.00013739025,0.03200059475,0.0,0.0,0.03227537525,1
2025-03-12,0.0014163714999999998,-0.0006912122,0.0021075837,-0.0027987959,0.0,0.0,0.0014163714999999998,1
2025-03-13,0.011483811000000002,0.026345374,-0.014861563,0.041206937,0.0,0.0,0.011483811000000002,1
2025-03-14,-0.0071165045,0.001194434,-0.0083109385,0.0095053725,1.0,0.001,-0.0081165045,1
2025-03-17,-0.0025333265499999998,-0.00306073575,0.0005274092,-0.00358814495,0.0,0.0,-0.0025333265499999998,1
2025-03-18,-0.001793167,0.005994597,-0.007787764,0.013782361,0.0,0.0,-0.001793167,1
2025-03-19,-0.00477100965,-0.00264815965,-0.00212285,-0.0005253096500000003,0.0,0.0,-0.00477100965,1
2025-03-20,0.011463991,0.0097383865,0.0017256045,0.008012782,0.0,0.0,0.011463991,1
2025-03-21,0.004336528500000001,0.0056352225,-0.001298694,0.0069339165,0.0,0.0,0.004336528500000001,1
2025-03-24,0.0034299135,0.006840909,-0.0034109955,0.0102519045,0.0,0.0,0.0034299135,1
2025-03-25,-0.012165585999999999,-0.0049608425,-0.0072047435,0.0022439010000000004,0.0,0.0,-0.012165585999999999,1
2025-03-26,0.006842786,0.005236344,0.001606442,0.0036299020000000004,0.0,0.0,0.006842786,1
2025-03-27,-0.007218709249999999,-0.00789732,0.00067861075,-0.008575930749999999,1.0,0.001,-0.00821870925,1
2025-03-28,-0.010977675,-0.005881296,-0.005096379,-0.0007849170000000004,0.0,0.0,-0.010977675,1
2025-03-31,0.007703295625,0.0081657545,-0.000462458875,0.008628213375,0.0,0.0,0.007703295625,1
2025-04-01,0.0027796175,0.0012255175,0.0015541,-0.0003285825000000002,0.0,0.0,0.0027796175,1
2025-04-02,-0.012741345000000005,-0.03903274,0.026291395,-0.065324135,0.0,0.0,-0.012741345000000005,1
2025-04-03,-0.0008098500000000008,-0.03678783,0.03597798,-0.07276581,0.0,0.0,-0.0008098500000000008,1
2025-04-04,0.0243633275,0.017654553,0.0067087745,0.0109457785,0.0,0.0,0.0243633275,1
2025-04-07,0.0036781945,-0.0068619555,0.01054015,-0.0174021055,0.0,0.0,0.0036781945,1
2025-04-08,0.0686558625,0.0936137,-0.0249578375,0.11857153749999999,0.0,0.0,0.0686558625,1
2025-04-09,-0.001822533500000001,-0.029563552,0.0277410185,-0.0573045705,0.0,0.0,-0.001822533500000001,1
2025-04-10,0.0181072153,0.0156177365,0.0024894788,0.0131282577,1.0,0.001,0.0171072153,1
2025-04-11,0.002141324,-0.000991606,0.00313293,-0.004124536,1.0,0.001,0.001141324,1
2025-04-14,0.0101163083,0.006729293,0.0033870153,0.0033422777,0.0,0.0,0.0101163083,1
2025-04-15,-0.026808854999999996,-0.034358255,0.0075494,-0.041907654999999995,0.0,0.0,-0.026808854999999996,1
2025-04-16,-0.0194728535,-0.0143554825,-0.005117371,-0.0092381115,0.0,0.0,-0.0194728535,1
2025-04-17,-0.0161617555,-0.0225637385,0.006401983,-0.0289657215,0.0,0.0,-0.0161617555,1
2025-04-21,-0.0041955034999999995,0.0102155965,-0.0144111,0.0246266965,0.0,0.0,-0.0041955034999999995,1
2025-04-22,0.008087265000000001,0.01931441,-0.011227145,0.030541554999999998,0.0,0.0,0.008087265000000001,1
2025-04-23,0.0103045295,0.01810923,-0.0078047005,0.0259139305,0.0,0.0,0.0103045295,1
2025-04-24,0.02374429575,0.02151654,0.00222775575,0.01928878425,0.0,0.0,0.02374429575,1
2025-04-25,-0.0105457124,-0.010269365,-0.0002763474,-0.009993017600000001,1.0,0.001,-0.011545712400000002,1
2025-04-28,0.0025762633999999998,0.00133353425,0.00124272915,9.080510000000004e-05,0.0,0.0,0.0025762633999999998,1
2025-04-29,0.012138295,-0.0004586235,0.0125969185,-0.013055542,0.0,0.0,0.012138295,1
2025-04-30,0.01163850185,0.0123485235,-0.00071002165,0.01305854515,0.0,0.0,0.01163850185,1
2025-05-01,0.01091438535,0.012946897,-0.00203251165,0.014979408650000001,0.0,0.0,0.01091438535,1
2025-05-02,0.01087099625,-0.00296944075,0.013840437,-0.01680987775,0.0,0.0,0.01087099625,1
2025-05-05,-0.0082019291,-0.0012299841,-0.006971945,0.005741960900000001,0.0,0.0,-0.0082019291,1
2025-05-06,0.0159785723,0.0155011165,0.0004774558,0.0150236607,0.0,0.0,0.0159785723,1
2025-05-07,-0.00565413,0.0013241365,-0.0069782665,0.008302403,0.0,0.0,-0.00565413,1
2025-05-08,-0.0089124008,-0.0030672413,-0.0058451595,0.0027779181999999995,0.0,0.0,-0.0089124008,1
2025-05-09,0.0185982675,0.0272181575,-0.00861989,0.0358380475,0.0,0.0,0.0185982675,1
2025-05-12,0.0267965741,0.028170733,-0.0013741589,0.0295448919,0.0,0.0,0.0267965741,1
2025-05-13,0.025295375499999998,0.020818852,0.0044765235,0.0163423285,0.0,0.0,0.025295375499999998,1
2025-05-14,-0.006954299,-0.0018840715,-0.0050702275,0.003186156,0.0,0.0,-0.006954299,1
2025-05-15,0.00390964305,0.0021137415,0.00179590155,0.00031783995,0.0,0.0,0.00390964305,1
2025-05-16,0.0085766513,0.0006277078,0.0079489435,-0.0073212356999999995,0.0,0.0,0.0085766513,1
2025-05-19,-0.0017889527999999997,-0.004388784,0.0025998312,-0.006988615199999999,1.0,0.001,-0.0027889527999999998,1
2025-05-20,0.015220816600000001,0.013965111,0.0012557056,0.0127094054,1.0,0.001,0.014220816600000002,1
2025-05-21,0.00601021085,0.0068521075,-0.00084189665,0.00769400415,0.0,0.0,0.00601021085,1
2025-05-22,0.00044684800000000056,-0.0070228515,0.0074696995,-0.014492551,0.0,0.0,0.00044684800000000056,1
2025-05-23,0.0004812924999999992,0.0126491635,-0.012167871,0.0248170345,1.0,0.001,-0.0005187075000000008,1
2025-05-27,-0.0004564809000000001,0.0005243587,-0.0009808396,0.0015051983,0.0,0.0,-0.0004564809000000001,1
2025-05-28,-0.00331596435,-0.00117250835,-0.002143456,0.0009709476500000002,1.0,0.001,-0.00431596435,1
2025-05-29,0.01894835965,0.00225053565,0.016697824,-0.01444728835,0.0,0.0,0.01894835965,1
