fold,train_start,train_end,validation_start,validation_end,test_start,test_end,best_validation_rank_loss,test_ic,median_ic,top_return,bottom_return,long_short_return,hit_rate,sharpe
1,2015-10-16,2018-10-15,2018-10-16,2019-04-15,2019-04-16,2019-07-15,0.6926331154761776,0.014076246334310854,-0.04848484848484848,0.0013857052,-0.000112399255,0.0014981044073318762,0.5645161290322581,1.6508427434924446
2,2016-01-16,2019-01-15,2019-01-16,2019-07-15,2019-07-16,2019-10-15,0.6897410784036883,0.017062937062937066,0.01818181818181818,-0.0008321947,0.00013929443,-0.0009714892313170891,0.5230769230769231,-0.9875279336828737
3,2016-04-16,2019-04-15,2019-04-16,2019-10-15,2019-10-16,2020-01-15,0.6919600029629985,0.13727753727753728,0.22424242424242422,0.0057781525,0.00096514,0.0048130120239442305,0.6349206349206349,4.577528469386758
4,2016-07-16,2019-07-15,2019-07-16,2020-01-15,2020-01-16,2020-04-15,0.6899479436688125,0.02913000977517107,0.036363636363636355,0.0044193496,-0.0045179646,0.008937313902987949,0.6451612903225806,3.937110084085618
5,2016-10-16,2019-10-15,2019-10-16,2020-04-15,2020-04-16,2020-07-15,0.6879788269996643,0.023761423761423754,-0.01818181818181818,0.00529595,0.0028244804,0.00247146969749814,0.4603174603174603,1.4984842684435165
6,2017-01-16,2020-01-15,2020-01-16,2020-07-15,2020-07-16,2020-10-15,0.6911120462417603,0.05864801864801863,0.09090909090909088,0.0061400505,-0.0008226225,0.006962672151768437,0.5846153846153846,3.325481617598092
7,2017-04-16,2020-04-15,2020-04-16,2020-10-15,2020-10-16,2021-01-15,0.6914866925217211,0.01625781625781626,-0.01818181818181818,0.0011389352,0.0025018551,-0.0013629202065723284,0.5079365079365079,-0.9859721140829731
8,2017-07-16,2020-07-15,2020-07-16,2021-01-15,2021-01-16,2021-04-15,0.6922321049496531,-0.04063586686537505,0.01818181818181818,0.00044409966,0.0037836018,-0.003339501880261986,0.4426229508196721,-2.2411650095489484
9,2017-10-16,2020-10-15,2020-10-16,2021-04-15,2021-04-16,2021-07-15,0.6936357953856068,0.03934583934583936,0.06666666666666665,0.00014594157,2.2826982e-05,0.00012311443597787903,0.5079365079365079,0.1070740495269706
10,2018-01-16,2021-01-15,2021-01-16,2021-07-15,2021-07-16,2021-10-15,0.6939985583866796,0.03067599067599068,0.0303030303030303,0.0019285152,0.0025017788,-0.0005732637758438404,0.49230769230769234,-0.53856903670249
11,2018-04-16,2021-04-15,2021-04-16,2021-10-15,2021-10-16,2022-01-15,0.692960259038955,0.030110630110630105,0.04242424242424241,0.0034945575,0.0010719225,0.0024226351367634914,0.49206349206349204,1.5033010798325928
12,2018-07-16,2021-07-15,2021-07-16,2022-01-15,2022-01-16,2022-04-15,0.6928612971678376,-0.05083088954056695,-0.054545454545454536,-0.0014736871,0.0005392036,-0.002012890496952159,0.43548387096774194,-1.2111957206523234
13,2018-10-16,2021-10-15,2021-10-16,2022-04-15,2022-04-16,2022-07-15,0.6931129422187805,-0.03147605083088953,-0.09696969696969696,-0.0029141433,-0.0017304942,-0.001183649292215705,0.5,-1.0818588635307709
14,2019-01-16,2022-01-15,2022-01-16,2022-07-15,2022-07-16,2022-10-15,0.6938717269128368,-0.06704545454545455,-0.04242424242424241,-0.0027676243,0.0020633892,-0.004831013673538109,0.453125,-3.4731903059312392
15,2019-04-16,2022-04-15,2022-04-16,2022-10-15,2022-10-16,2023-01-15,0.6935303542349074,-0.025610650621009572,-0.006060606060606061,0.0029356533,0.0050619803,-0.0021263270698968443,0.4838709677419355,-2.4324576562149742
16,2019-07-16,2022-07-15,2022-07-16,2023-01-15,2023-01-16,2023-04-15,0.6930776512812055,0.04457478005865103,0.02424242424242424,0.0047858884,0.0044196197,0.00036626847671164623,0.45161290322580644,0.2656082066630832
17,2019-10-16,2022-10-15,2022-10-16,2023-04-15,2023-04-16,2023-07-15,0.6931074338574563,0.033822091886608,0.06666666666666665,0.006130153,-0.00071284967,0.006843002216379729,0.5645161290322581,3.5749311309612586
18,2020-01-16,2023-01-15,2023-01-16,2023-07-15,2023-07-16,2023-10-15,0.6929036551906217,0.0007575757575757625,-0.04848484848484848,-0.00040531525,0.0016245113,-0.002029826515354216,0.484375,-1.729152858642201
19,2020-04-16,2023-04-15,2023-04-16,2023-10-15,2023-10-16,2024-01-15,0.6926380334392427,-0.05239491691104595,-0.08484848484848484,0.0013118827,0.00042860844,0.0008832741258365493,0.5161290322580645,0.9999713731545516
20,2020-07-16,2023-07-15,2023-07-16,2024-01-15,2024-01-16,2024-04-15,0.6926960169322907,0.06435786435786436,0.0303030303030303,0.003631503,-0.0017431333,0.00537463646226873,0.5238095238095238,3.6017271513658082
