Date,Ticker,prediction,position,portfolio_side,actual_return
2025-01-22,AAPL,0.0248550325632095,0.5,LONG,-0.0007595152
2025-01-22,GOOGL,-0.0116031467914581,0.5,LONG,-0.0019658762
2025-01-22,NVDA,-0.0146994292736053,0.0,FLAT,0.0010199465
2025-01-22,AVGO,-0.0321946889162063,0.0,FLAT,-0.0026151643
2025-01-22,AMZN,-0.0417427420616149,0.0,FLAT,0.0017446222
2025-01-22,MSFT,-0.0490122139453887,0.0,FLAT,0.0011428657
2025-01-22,JPM,-0.0755619257688522,0.0,FLAT,0.011832312
2025-01-22,META,-0.0828422456979751,0.0,FLAT,0.020769922
2025-01-22,TSLA,-0.0967845618724823,-0.5,SHORT,-0.006576523
2025-01-22,XOM,-0.1080797091126442,-0.5,SHORT,0.0056606145
2025-01-23,AAPL,0.0253767073154449,0.5,LONG,-0.003934463
2025-01-23,GOOGL,-0.0111829936504364,0.5,LONG,0.0112637235
2025-01-23,NVDA,-0.016478344798088,0.0,FLAT,-0.031245798
2025-01-23,AVGO,-0.0294337421655654,0.0,FLAT,0.018395245
2025-01-23,AMZN,-0.0432552546262741,0.0,FLAT,-0.002421171
2025-01-23,MSFT,-0.0571163594722747,0.0,FLAT,-0.0059321974
2025-01-23,JPM,-0.0767907500267028,0.0,FLAT,-0.0041739345
2025-01-23,META,-0.0868080407381057,0.0,FLAT,0.017346147
2025-01-23,TSLA,-0.1051753386855125,-0.5,SHORT,-0.014064742
2025-01-23,XOM,-0.1115560308098793,-0.5,SHORT,-0.0135270385
2025-01-24,AAPL,0.0241807401180267,0.5,LONG,0.031780235
2025-01-24,GOOGL,-0.0117840468883514,0.5,LONG,-0.041956086
2025-01-24,NVDA,-0.0158704221248626,0.0,FLAT,-0.16968167
2025-01-24,AVGO,-0.0276824235916137,0.0,FLAT,-0.17396809
2025-01-24,AMZN,-0.0452111959457397,0.0,FLAT,0.0024270474
2025-01-24,MSFT,-0.063212513923645,0.0,FLAT,-0.02139348
2025-01-24,JPM,-0.077751025557518,0.0,FLAT,0.0038137578
2025-01-24,META,-0.087079718708992,0.0,FLAT,0.019135399
2025-01-24,TSLA,-0.110672190785408,-0.5,SHORT,-0.02319345
2025-01-24,XOM,-0.1171388030052185,-0.5,SHORT,0.013896521
2025-01-27,AAPL,0.0231437683105468,0.5,LONG,0.036543835
2025-01-27,NVDA,-0.0030014812946319,0.5,LONG,0.089258656
2025-01-27,GOOGL,-0.0054040551185607,0.0,FLAT,0.018195169
