Date,Ticker,prediction,base_position,portfolio_side,actual_return,exposure_multiplier,targeted_position
2025-01-22,AAPL,0.0248550325632095,0.25,LONG,-0.0007595152,1.0,0.25
2025-01-22,GOOGL,-0.0116031467914581,0.25,LONG,-0.0019658762,1.0,0.25
2025-01-22,TSLA,-0.0967845618724823,-0.25,SHORT,-0.006576523,1.0,-0.25
2025-01-22,XOM,-0.1080797091126442,-0.25,SHORT,0.0056606145,1.0,-0.25
2025-01-23,AAPL,0.0253767073154449,0.25,LONG,-0.003934463,1.0,0.25
2025-01-23,GOOGL,-0.0111829936504364,0.25,LONG,0.0112637235,1.0,0.25
2025-01-23,TSLA,-0.1051753386855125,-0.25,SHORT,-0.014064742,1.0,-0.25
2025-01-23,XOM,-0.1115560308098793,-0.25,SHORT,-0.0135270385,1.0,-0.25
2025-01-24,AAPL,0.0241807401180267,0.25,LONG,0.031780235,1.0,0.25
2025-01-24,GOOGL,-0.0117840468883514,0.25,LONG,-0.041956086,1.0,0.25
2025-01-24,TSLA,-0.110672190785408,-0.25,SHORT,-0.02319345,1.0,-0.25
2025-01-24,XOM,-0.1171388030052185,-0.25,SHORT,0.013896521,1.0,-0.25
2025-01-27,AAPL,0.0231437683105468,0.25,LONG,0.036543835,1.0,0.25
2025-01-27,NVDA,-0.0030014812946319,0.25,LONG,0.089258656,1.0,0.25
2025-01-27,TSLA,-0.1110854968428611,-0.25,SHORT,0.0023668702,1.0,-0.25
2025-01-27,XOM,-0.1223225817084312,-0.25,SHORT,-0.019333713,1.0,-0.25
2025-01-28,AAPL,0.0088089257478713,0.25,LONG,0.004616856,1.0,0.25
2025-01-28,NVDA,-0.0082652270793914,0.25,LONG,-0.041011047,1.0,0.25
2025-01-28,TSLA,-0.1141982972621917,-0.25,SHORT,-0.022582809,1.0,-0.25
2025-01-28,XOM,-0.1235992014408111,-0.25,SHORT,0.0058311303,1.0,-0.25
2025-01-29,AAPL,-0.0009819567203521,0.25,LONG,-0.0073946565,1.0,0.25
2025-01-29,NVDA,-0.0051691681146621,0.25,LONG,0.007679887,1.0,0.25
2025-01-29,TSLA,-0.1109231561422348,-0.25,SHORT,0.028732954,1.0,-0.25
2025-01-29,XOM,-0.1230950951576232,-0.25,SHORT,0.008282042,1.0,-0.25
2025-01-30,NVDA,-0.0069814175367355,0.25,LONG,-0.036742847,1.0,0.25
2025-01-30,AAPL,-0.0081360638141632,0.25,LONG,-0.0066922335,1.0,0.25
2025-01-30,TSLA,-0.1051192656159401,-0.25,SHORT,0.010792464,1.0,-0.25
2025-01-30,XOM,-0.1223892644047737,-0.25,SHORT,-0.025006896,1.0,-0.25
2025-01-31,NVDA,-0.0055601596832275,0.25,LONG,-0.028400026,1.0,0.25
2025-01-31,AAPL,-0.0112650841474533,0.25,LONG,-0.03385593,1.0,0.25
2025-01-31,TSLA,-0.1023028716444969,-0.25,SHORT,-0.05170542,1.0,-0.25
2025-01-31,XOM,-0.1262522488832473,-0.25,SHORT,0.0024337887,1.0,-0.25
2025-02-03,NVDA,0.0062152445316314,0.25,LONG,0.017058104,1.0,0.25
2025-02-03,GOOGL,-0.0111451148986816,0.25,LONG,0.025592683,1.0,0.25
2025-02-03,META,-0.1069602966308593,-0.25,SHORT,0.009649212,1.0,-0.25
2025-02-03,XOM,-0.1279869377613067,-0.25,SHORT,0.026799873,1.0,-0.25
2025-02-04,NVDA,0.006558284163475,0.25,LONG,0.05208597,1.0,0.25
2025-02-04,GOOGL,-0.0153481066226959,0.25,LONG,-0.07292384,1.0,0.25
2025-02-04,META,-0.1146474033594131,-0.25,SHORT,0.0009657946,1.0,-0.25
2025-02-04,XOM,-0.123938038945198,-0.25,SHORT,-0.0007276379,1.0,-0.25
2025-02-05,NVDA,0.0022964924573898,0.25,LONG,0.030841853,1.0,0.25
2025-02-05,GOOGL,-0.0181488096714019,0.25,LONG,0.0014112972,1.0,0.25
2025-02-05,META,-0.1218236535787582,-0.25,SHORT,0.0101009505,1.0,-0.25
2025-02-05,XOM,-0.1221950501203537,-0.25,SHORT,-0.013196085,1.0,-0.25
2025-02-06,NVDA,-0.0017842650413513,0.25,LONG,0.009014427,1.0,0.25
2025-02-06,GOOGL,-0.0181360095739364,0.25,LONG,-0.03267227,1.0,0.25
2025-02-06,TSLA,-0.0917862206697464,-0.25,SHORT,-0.033928223,1.0,-0.25
2025-02-06,XOM,-0.1248283013701438,-0.25,SHORT,0.004242304,1.0,-0.25
2025-02-07,NVDA,-0.0038599371910095,0.25,LONG,0.028728034,1.0,0.25
2025-02-07,GOOGL,-0.0107907205820083,0.25,LONG,0.0060969396,1.0,0.25
2025-02-07,TSLA,-0.0871622413396835,-0.25,SHORT,-0.030114442,1.0,-0.25
2025-02-07,XOM,-0.124320775270462,-0.25,SHORT,0.019101968,1.0,-0.25
2025-02-10,GOOGL,-0.010182112455368,0.25,LONG,-0.006167242,1.0,0.25
2025-02-10,NVDA,-0.0156491696834564,0.25,LONG,-0.0057648644,1.0,0.25
2025-02-10,TSLA,-0.0813182070851326,-0.25,SHORT,-0.06338212,1.0,-0.25
2025-02-10,XOM,-0.1214983984827995,-0.25,SHORT,0.006307956,1.0,-0.25
2025-02-11,GOOGL,-0.0053254514932632,0.25,LONG,-0.009227229,1.0,0.25
2025-02-11,NVDA,-0.016052097082138,0.25,LONG,-0.012499987,1.0,0.25
2025-02-11,TSLA,-0.0696232914924621,-0.25,SHORT,0.024383591,1.0,-0.25
2025-02-11,XOM,-0.1227784603834152,-0.25,SHORT,-0.030086817,1.0,-0.25
