feature,importance
vix_ma10,0.06872363
vix,0.049607515
vix_ma20,0.037995275
aapl_momentum_20,0.032855656
spy_volatility_60,0.03145205
aapl_rsi,0.031151727
aapl_price_ma20_ratio,0.029704548
spy_volatility_20,0.028275106
aapl_volatility_60,0.027662717
aapl_volatility_10,0.0273191
spy_price_ma20_ratio,0.026518585
spy_price_ma50_ratio,0.026451763
spy_macd_signal,0.026422264
aapl_volatility_20,0.025987243
spy_log_return,0.02560241
aapl_macd_hist,0.024282813
spy_momentum_20,0.023829382
spy_macd_hist,0.023554327
aapl_momentum_10,0.022795837
aapl_volume_ratio,0.02272573
vix_change,0.022428257
spy_price_ma200_ratio,0.021962075
beta_spy_60,0.021619372
aapl_momentum_5,0.021258539
aapl_log_return,0.021101246
aapl_macd,0.021071777
aapl_return,0.0209197
spy_volume_ratio,0.020010555
aapl_price_ma50_ratio,0.019561855
aapl_macd_signal,0.01942768
spy_volatility_10,0.019414784
aapl_price_ma200_ratio,0.019292284
vix_ratio_ma20,0.019138144
spy_return,0.019052386
spy_momentum_10,0.01866752
spy_rsi,0.018534092
spy_volume_change,0.018014414
spy_macd,0.017065356
aapl_volume_change,0.015724508
spy_momentum_5,0.012817773
