feature,importance
spy_macd,0.04059421
aapl_log_return,0.034166615
aapl_rsi,0.033032
aapl_macd,0.032809976
vix,0.03198477
aapl_price_ma20_ratio,0.031563707
aapl_volatility_10,0.03083738
aapl_volume_ratio,0.029943028
spy_log_return,0.02941959
beta_spy_60,0.028890707
aapl_momentum_20,0.028117754
vix_change,0.027752757
spy_price_ma20_ratio,0.026685959
aapl_momentum_10,0.026309835
spy_momentum_20,0.025980383
spy_price_ma50_ratio,0.02597236
vix_ma20,0.025747305
spy_volume_change,0.025329886
spy_volatility_10,0.024961693
aapl_macd_signal,0.024616249
vix_ma10,0.02457245
spy_volume_ratio,0.024557918
spy_price_ma200_ratio,0.024091626
aapl_return,0.023811648
aapl_volatility_20,0.02329146
spy_return,0.023001313
spy_momentum_10,0.02292486
aapl_volatility_60,0.022849817
spy_rsi,0.02273315
spy_momentum_5,0.022331702
spy_macd_signal,0.020456897
vix_ratio_ma20,0.02034427
aapl_volume_change,0.01973849
spy_volatility_20,0.01966841
spy_volatility_60,0.019666538
aapl_price_ma200_ratio,0.018873546
aapl_price_ma50_ratio,0.018084355
aapl_macd_hist,0.016119266
aapl_momentum_5,0.015406169
spy_macd_hist,0.012759984
